P05997,P98095
P05997,Q01955
P05997,Q15582
P05997,Q9NPY3
P07900-2,Q14573
P08123,P07093-2
P08123,P07996
P08123,P08572
P08123,P12109
P08123,P22303-4
P08123,P35556
P08123,P58335-4
P08123,P98095
P08123,Q01955
P08123,Q08345
P08123,Q14050
P08123,Q15582
P08123,Q9NPY3
P08572,P20908
P11047,Q96CW1
P11717,P02768
P11717,P02786
P11717,P04264
P11717,P06756
P11717,P07288
P11717,P07355
P11717,P09429
P11717,P10909
P11717,P11717
P11717,P12830
P11717,P14210
P11717,P14625
P11717,P16144
P11717,P17931
P11717,P18564
P11717,P21926
P11717,P23468
P11717,P25391
P11717,P27797
P11717,P48740
P11717,P81605
P11717,Q07954
P11717,Q12913
P11717,Q12959
P11717,Q13219
P11717,Q14773
P11717,Q8N2S1
P11717,Q8NGV6
P11717,Q92736
P11717,Q92832
P11717,Q96JX3
P11717,Q96RT1
P11717,Q9GZM6
P11717,Q9HCN8
P11717,Q9UMD9
P11717,Q9Y4C0
P12107,P07996
P12107,P12109
P12107,P14543
P12107,P22303-4
P12107,P35556
P12107,P58335-4
P12107,P98095
P12107,Q01955
P12107,Q15582
P12107,Q9NPY3
P12107-3,P07996
P12107-3,P12109
P12107-3,P14543
P12107-3,P20908
P12107-3,P22303-4
P12107-3,P58335-4
P12107-3,P98095
P12107-3,Q01955
P12107-3,Q15582
P12107-3,Q9NPY3
P12109,P12109
P12109,P20908
P12109,P35613
P12109,Q9Y4L1
P13608,P02462
P13608,P02751
P13608,P04275
P13608,P05556
P13608,P07996
P13608,P08123
P13608,P08572
P13608,P08648
P13608,P08758
P13608,P12109
P13608,P14543
P13608,P17936
P13608,P20073
P13608,P20908
P13608,P20916
P13608,P22303-4
P13608,P26006
P13608,P32004
P13608,P35555
P13608,P35556
P13608,P35613
P13608,P43251
P13608,P48723
P13608,P50897
P13608,P53420
P13608,P54709
P13608,P55001-2
P13608,P58335
P13608,P58335-4
P13608,P98095
P13608,Q01955
P13608,Q07021
P13608,Q08380
P13608,Q13753
P13608,Q15582
P13608,Q32P28
P13608,Q5T2D2
P13608,Q5ZPR3
P13608,Q8WTV0
P13608,Q8WU66
P13608,Q96CW1
P13608,Q9GZM6
P13608,Q9HAT2
P13608,Q9UHG3
P13608,Q9UHL4
P13608,Q9Y4L1
P13611,P02768
P13611,P02774-2
P13611,P02786
P13611,P04264
P13611,P04626
P13611,P05106
P13611,P06756
P13611,P07288
P13611,P07355
P13611,P08648
P13611,P09382
P13611,P10586
P13611,P10909
P13611,P11717
P13611,P12109
P13611,P12830
P13611,P13612
P13611,P14618
P13611,P14625
P13611,P15328
P13611,P16070
P13611,P16144
P13611,P17931
P13611,P20645
P13611,P21926
P13611,P23468
P13611,P25391
P13611,P26006
P13611,P26583
P13611,P27352
P13611,P27797
P13611,P30044
P13611,P35030
P13611,P35613
P13611,P48723
P13611,P48745
P13611,P50897
P13611,P54709
P13611,P81605
P13611,P98160
P13611,P98164
P13611,Q07021
P13611,Q07954
P13611,Q08380
P13611,Q12860
P13611,Q12913
P13611,Q12959
P13611,Q13162
P13611,Q13219
P13611,Q14573
P13611,Q14773
P13611,Q15758
P13611,Q32P28
P13611,Q5SQT9
P13611,Q5T2D2
P13611,Q5ZPR3
P13611,Q8WTV0
P13611,Q8WU66
P13611,Q92736
P13611,Q92743
P13611,Q92832
P13611,Q969H8
P13611,Q96CW1
P13611,Q96JX3
P13611,Q96RT1
P13611,Q9GZM6
P13611,Q9HAT2
P13611,Q9HCK4
P13611,Q9HCN8
P13611,Q9HD43
P13611,Q9NYQ7
P13611,Q9UHF4
P13611,Q9UHG3
P13611,Q9UHL4
P13611,Q9UKX5
P13611,Q9UL54
P13611,Q9UMD9
P13611,Q9Y4C0
P13611,Q9Y4L1
P13611,Q9Y6R7
P14625,P14625
P14625,Q03001
P14625,Q07954
P14625,Q14573
P14625,Q96CW1
P15502,P12109
P15502,P20908
P15502,Q01955
P15502,Q15582
P15502-7,P12109
P15502-7,P20908
P15502-7,Q15582
P20908,P07093-2
P20908,P07996
P20908,P08572
P20908,P12107
P20908,P12109
P20908,P13942
P20908,P14543
P20908,P20908
P20908,P22303-4
P20908,P35556
P20908,P58335-4
P20908,P98095
P20908,Q01955
P20908,Q08345
P20908,Q08345-2
P20908,Q14050
P20908,Q15582
P20908,Q92876
P20908,Q9NPY3
P21817,Q9UMD9
P22105,P03956
P22105,P04275
P22105,P05556
P22105,P07996
P22105,P08648
P22105,P12109
P22105,P14543
P22105,P20908
P22105,P21810
P22105,P22303-4
P22105,P26006
P22105,P32004
P22105,P35555
P22105,P35556
P22105,P35613
P22105,P43251
P22105,P48723
P22105,P50281
P22105,P50897
P22105,P54709
P22105,P55268
P22105,P58335
P22105,P58335-4
P22105,P98095
P22105,Q01955
P22105,Q08380
P22105,Q13751
P22105,Q13753
P22105,Q13753-2
P22105,Q14112
P22105,Q14767
P22105,Q15582
P22105,Q16610-2
P22105,Q32P28
P22105,Q5M8T4
P22105,Q5T2D2
P22105,Q5ZPR3
P22105,Q6PCB0
P22105,Q8WTV0
P22105,Q8WU66
P22105,Q96CW1
P22105,Q9HAT2
P22105,Q9NPY3
P22105,Q9UHG3
P22105,Q9UHL4
P22105,Q9Y4L1
P23467,Q9UMD9
P23471,P12830
P23471,P23468
P23471,P27797
P23471,P98164
P23471,Q92832
P23471,Q96CW1
P23471,Q96JX3
P23471,Q96RT1
P23471,Q9HD43
P23471,Q9UHF4
P23471,Q9UMD9
P24043,P02751
P24043,P02768
P24043,P02786
P24043,P04264
P24043,P04275
P24043,P05106
P24043,P05556
P24043,P06756
P24043,P07288
P24043,P07339
P24043,P07355
P24043,P07602
P24043,P07711
P24043,P08236
P24043,P08648
P24043,P08709
P24043,P09382
P24043,P09429
P24043,P10720
P24043,P10909
P24043,P11047
P24043,P11717
P24043,P12830
P24043,P13612
P24043,P14618
P24043,P14625
P24043,P15328
P24043,P16070
P24043,P16144
P24043,P17301
P24043,P17931
P24043,P19827
P24043,P20645
P24043,P20908
P24043,P21926
P24043,P23468
P24043,P25391
P24043,P26006
P24043,P26583
P24043,P27797
P24043,P32004
P24043,P35030
P24043,P35368
P24043,P35555
P24043,P35613
P24043,P35968
P24043,P43251
P24043,P47893
P24043,P48509
P24043,P48723
P24043,P48740
P24043,P50897
P24043,P54709
P24043,P56199
P24043,P61812
P24043,P81605
P24043,P98160
P24043,P98172
P24043,Q07021
P24043,Q07954
P24043,Q08380
P24043,Q12860-2
P24043,Q12913
P24043,Q12959
P24043,Q13219
P24043,Q13797
P24043,Q14573
P24043,Q14773
P24043,Q15758
P24043,Q32P28
P24043,Q5SQT9
P24043,Q5T2D2
P24043,Q5ZPR3
P24043,Q8N2S1
P24043,Q8WTV0
P24043,Q8WU66
P24043,Q92736
P24043,Q92743
P24043,Q92832
P24043,Q96CW1
P24043,Q96JX3
P24043,Q96RT1
P24043,Q9BRK5
P24043,Q9GZM6
P24043,Q9HAT2
P24043,Q9HCN8
P24043,Q9UHG3
P24043,Q9UHL4
P24043,Q9UKX5
P24043,Q9UL54
P24043,Q9UMD9
P24043,Q9UQE7
P24043,Q9Y4C0
P24043,Q9Y4L1
P24821,Q07954
P24821,Q96CW1
P24821,Q9Y4L1
P25391,O75718
P25391,P01023
P25391,P01833
P25391,P02743
P25391,P02768
P25391,P02786
P25391,P04264
P25391,P05106
P25391,P05556
P25391,P06756
P25391,P07288
P25391,P07306
P25391,P07339
P25391,P07355
P25391,P07602
P25391,P08236
P25391,P08648
P25391,P09429
P25391,P10720
P25391,P10909
P25391,P11047
