"","ligand","receptor","source","PMIDs"
"1520","HGF","SDC1","HPRD,fantom5","11830493"
"1521","HGF","SDC2","fantom5,HPRD","8157651"
"1522","HGF","ST14","HPRD,fantom5","12372819,11"
"1523","HHIPL2","CACHD1","fantom5",""
"1524","HHLA3","CHRM3","fantom5",""
"1525","HLA-A","APLP2","fantom5,HPRD","19184004"
"1526","HLA-A","CD3D","fantom5",""
"1527","HLA-A","CD3G","fantom5",""
"1528","HLA-A","ERBB2","fantom5,HPRD","10593938"
"1529","HLA-A","KIR2DL1","fantom5",""
"1530","HLA-A","KIR2DL3","fantom5",""
"1531","HLA-A","KIR3DL1","fantom5","17182537"
"1532","HLA-A","KIR3DL2","fantom5,HPMR,HPRD","15719024,8617928,8760804"
"1533","HLA-A","LILRB1","HPRD,fantom5","12897781"
"1534","HLA-A","LILRB2","HPRD,fantom5","12853576,95"
"1535","HLA-B","CANX","fantom5","7876141"
"1536","HLA-B","CD3D","fantom5",""
"1537","HLA-B","CD3G","fantom5",""
"1538","HLA-B","KIR2DL3","fantom5",""
"1539","HLA-B","KIR3DL1","fantom5,HPMR,HPRD","15607823,8"
"1540","HLA-B","KLRD1","HPRD,fantom5","8046333"
"1541","HLA-B","LILRB1","HPRD,fantom5","12853576"
"1542","HLA-B","LILRB2","HPRD,fantom5","12853576,95"
"1543","HLA-C","CD3D","fantom5",""
"1544","HLA-C","CD3G","fantom5",""
"1545","HLA-C","DDR1","fantom5",""
"1546","HLA-C","KIR2DL1","HPMR,fantom5,HPRD","15607823,10429675,9378975,11323700,10820396,11163076,12794140,11009104,12454284,9686591,9768753"
"1547","HLA-C","KIR2DL3","fantom5,HPMR,HPRD","15607823,8692965,9768753,10497191"
"1548","HLA-C","KIR2DS4","HPRD,HPMR,fantom5","15265913,95"
"1549","HLA-C","KIR3DL1","fantom5",""
"1550","HLA-C","LILRA3","fantom5","21270408"
"1551","HLA-C","LILRB1","HPRD,fantom5","12853576"
"1552","HLA-C","LILRB2","fantom5,HPRD","12853576"
"1553","HLA-C","NOTCH4","fantom5",""
"1554","HLA-C","SLC9C2","fantom5",""
"1555","HLA-E","KIR3DL1","fantom5",""
"1556","HLA-E","KLRC1","HPRD,fantom5,HPMR","9486650"
"1557","HLA-E","KLRC2","HPRD,HPMR,fantom5","9486650,91"
"1558","HLA-E","KLRD1","HPRD,HPMR,fantom5","9486650,14734748,9815261,9486650,9886400"
"1559","HLA-E","SLC16A4","fantom5",""
"1560","HLA-G","CD4","fantom5",""
"1561","HLA-G","KIR2DL4","HPRD,HPMR,fantom5","10190900"
"1562","HLA-G","KLRC1","HPMR,fantom5","9295021"
"1563","HLA-G","KLRD1","fantom5,HPMR,HPRD","9405670,93"
"1564","HLA-G","LILRB1","HPRD,fantom5,HPMR","15718280,9933109,12853576,12874224"
"1565","HLA-G","LILRB2","fantom5,HPRD","12853576,15670976,9531263,10190906"
"1566","HMGB1","SDC1","fantom5","1369684"
"1567","HMGB1","THBD","fantom5","15841214"
"1568","HMGB1","TLR4","reactome",""
"1569","HPX","LRP1","reactome",""
"1570","HP","ASGR1","fantom5",""
"1571","HP","ASGR2","fantom5",""
"1572","HP","ITGAM","HPRD,fantom5","11967116"
"1573","HP","ITGB2","fantom5,HPRD","11967116"
"1574","HRAS","AGTR1","fantom5,HPRD","8753867"
"1575","HRAS","CAV1","HPRD,fantom5","8621645"
"1576","HRAS","GRIN2D","fantom5,HPRD","10862698"
"1577","HRAS","INSR","HPRD,fantom5","3109943"
"1578","HRAS","SDC2","fantom5",""
"1579","HRAS","TLR2","HPRD,fantom5","15496409"
"1580","HRAS","TLR9","HPRD,fantom5","12867418"
"1581","HRG","FCGR1A","HPRD,fantom5","10421785"
"1582","HSP90AA1","CFTR","fantom5","9843494"
"1583","HSP90AA1","EGFR","fantom5","18199556"
"1584","HSP90AA1","ERBB2","reactome",""
"1585","HSP90AA1","FGFR3","fantom5","21487019"
"1586","HSP90AA1","ITGB3","reactome",""
"1587","HSP90B1","ASGR1","HPRD,fantom5",""
"1588","HSP90B1","ERBB2","fantom5,HPRD",""
"1589","HSP90B1","LRP1","fantom5,HPMR,HPRD",""
"1590","HSP90B1","TLR1","fantom5,HPRD",""
"1591","HSP90B1","TLR2","fantom5,HPRD",""
"1592","HSP90B1","TLR4","HPRD,fantom5",""
"1593","HSP90B1","TLR7","fantom5,reactome",""
"1594","HSP90B1","TLR9","fantom5",""
"1595","HSPA1A","GRIN2D","fantom5,HPRD",""
"1596","HSPA1A","TLR4","fantom5","22528050"
"1597","HSPA8","ADRB2","reactome",""
"1598","HSPA8","LDLR","reactome",""
"1599","HSPA8","LRP2","reactome",""
"1600","HSPG2","CHRM3","fantom5",""
"1601","HSPG2","COL13A1","HPRD,fantom5","11956183"
"1602","HSPG2","ITGA2","HPRD,fantom5","15240572"
"1603","HSPG2","ITGB1","reactome,HPRD,fantom5","9431988"
"1604","HSPG2","LRP1","reactome",""
"1605","HSPG2","LRP2","reactome",""
"1606","HSPG2","PTPRS","HPMR,fantom5","11865065"
"1607","HSPG2","SDC1","fantom5",""
"1608","IAPP","ADCYAP1R1","reactome",""
"1609","IAPP","ADRB2","reactome",""
"1610","IAPP","ADRB3","reactome",""
"1611","IAPP","CALCR","fantom5,IUPHAR,HPMR","12529937,9487987,10342886"
"1612","IAPP","GPR20","reactome",""
"1613","IAPP","GPR84","reactome",""
"1614","IAPP","PTH1R","reactome",""
"1615","IAPP","RAMP1","fantom5,HPRD","10385705"
"1616","IAPP","RAMP2","fantom5,HPRD,reactome","16531504"
"1617","IAPP","RAMP3","fantom5,reactome",""
"1618","IAPP","TSHR","reactome",""
"1619","IAPP","VIPR1","reactome",""
"1620","IBSP","ITGAV","fantom5",""
"1621","IBSP","ITGB3","reactome",""
"1622","ICAM1","CAV1","fantom5",""
"1623","ICAM1","EGFR","HPRD,fantom5","16799092"
"1624","ICAM1","IL2RA","fantom5,HPRD","1976256"
"1625","ICAM1","IL2RG","fantom5,HPRD","1976256"
"1626","ICAM1","ITGAL","fantom5,HPMR","14507735"
"1627","ICAM1","ITGAM","HPRD,fantom5","11073102,95"
"1628","ICAM1","ITGAX","fantom5,HPMR","4062888"
"1629","ICAM1","ITGB2","uniprot,fantom5,HPMR,HPRD","14507735,4062888,7642561,11279101"
"1630","ICAM2","ITGAL","HPMR,fantom5","15023143"
"1631","ICAM2","ITGAM","HPRD,fantom5","10352278"
"1632","ICAM2","ITGB2","HPMR,uniprot,fantom5,HPRD","15023143,98"
"1633","ICAM3","CLEC4M","fantom5,HPRD","11257134"
"1634","ICAM3","ITGAD","fantom5,HPRD","8777714"
"1635","ICAM3","ITGAL","HPRD,fantom5,HPMR","15728350,11353828,15728350"
"1636","ICAM3","ITGB2","HPRD,fantom5,uniprot,HPMR","15728350,11353828,7822326"
"1637","ICAM4","ITGA2B","fantom5,HPMR","15355350"
"1638","ICAM4","ITGA4","HPRD,fantom5","11435317"
"1639","ICAM4","ITGAL","fantom5,HPMR","15355350"
"1640","ICAM4","ITGAM","HPRD,fantom5,HPMR","15355350,11"
"1641","ICAM4","ITGAV","HPMR,fantom5,HPRD","15355350,11"
"1642","ICAM4","ITGB1","HPRD,fantom5","11435317"
"1643","ICAM4","ITGB2","HPMR,fantom5,reactome,HPRD","15355350,11"
"1644","ICAM4","ITGB3","fantom5,HPMR","15355350"
"1645","ICAM4","RHAG","HPRD,fantom5","8563755"
"1646","ICAM5","ITGAL","fantom5,HPMR,HPRD","10741396,9"
"1647","ICAM5","ITGB2","HPRD,fantom5,HPMR","10741396,9"
"1648","ICOSLG","ICOS","uniprot",""
"1649","IFNA10","IFNAR1","uniprot","21856167"
"1650","IFNA10","IFNAR2","uniprot","21856167"
"1651","IFNA14","IFNAR1","uniprot","21856167"
"1652","IFNA14","IFNAR2","uniprot","21856167"
"1653","IFNA16","IFNAR1","uniprot","21856167"
"1654","IFNA16","IFNAR2","uniprot","21856167"
"1655","IFNA17","IFNAR1","uniprot","21856167"
"1656","IFNA17","IFNAR2","uniprot","21856167"
"1657","IFNA1","IFNAR1","HPMR,fantom5,uniprot,HPRD","11698684,79"
"1658","IFNA1","IFNAR2","HPMR,fantom5,uniprot","11698684"
"1659","IFNA21","IFNAR1","uniprot","21856167"
"1660","IFNA21","IFNAR2","uniprot","21856167"
"1661","IFNA2","IFNAR1","uniprot,fantom5,HPRD","1834641"
"1662","IFNA2","IFNAR2","HPRD,fantom5,uniprot","10339405,12"
"1663","IFNA4","IFNAR1","uniprot","21856167"
"1664","IFNA4","IFNAR2","uniprot","21856167"
"1665","IFNA5","IFNAR1","uniprot","21856167"
"1666","IFNA5","IFNAR2","HPRD,fantom5,uniprot","10395669"
"1667","IFNA6","IFNAR1","uniprot","21856167"
"1668","IFNA6","IFNAR2","uniprot","21856167"
"1669","IFNA7","IFNAR1","uniprot","21856167"
"1670","IFNA7","IFNAR2","uniprot","21856167"
"1671","IFNA8","IFNAR1","uniprot","21856167"
"1672","IFNA8","IFNAR2","fantom5,uniprot,HPRD","8969169"
"1673","IFNB1","IFNAR1","HPRD,HPMR,uniprot,fantom5","11278538,18"
"1674","IFNB1","IFNAR2","HPRD,HPMR,fantom5,uniprot","11278538,1"
"1675","IFNE","IFNAR1","uniprot",""
"1676","IFNE","IFNAR2","uniprot",""
"1677","IFNG","IFNGR1","fantom5,uniprot,HPMR,HPRD","10811850,12165521,10986460,11250200"
"1678","IFNG","IFNGR2","HPRD,fantom5,uniprot,HPMR","10811850,77"
"1679","IFNL1","IFNLR1","uniprot,fantom5,HPMR,HPRD","12974481,12"
"1680","IFNL1","IL10RB","HPMR,uniprot,fantom5","12974481"
"1681","IFNL2","IFNLR1","HPRD,HPMR,uniprot,fantom5","12974481,12"
"1682","IFNL2","IL10RB","HPRD,uniprot,fantom5,HPMR","12974481,12"
"1683","IFNL3","IFNLR1","HPMR,fantom5,uniprot","12974481"
"1684","IFNL3","IL10RB","fantom5,uniprot,HPMR,HPRD","12974481,12"
"1685","IFNW1","IFNAR1","uniprot,fantom5,HPMR,HPRD","11278538,18"
"1686","IFNW1","IFNAR2","uniprot,fantom5,HPMR","11278538"
"1687","IGF1","IGF1R","HPRD,uniprot,IUPHAR,fantom5,HPMR","2877871,185"
"1688","IGF1","IGF2R","uniprot",""
"1689","IGF1","INSR","fantom5",""
"1690","IGF2","IGF1R","fantom5,uniprot,IUPHAR,HPRD,reactome","9972281"
"1691","IGF2","IGF2R","HPRD,HPMR,uniprot,fantom5","2964083,7797478,9722981"
"1692","IGF2","INSR","HPMR,fantom5,HPRD","9281335,972"
"1693","IGFBP4","FZD8","fantom5","18528331"
"1694","IGFBP4","LRP6","fantom5","18528331"
"1695","IGFL1","IGFLR1","fantom5","21454693"
"1696","IGFL2","IGFLR1","fantom5","21454693"
"1697","IGFL3","IGFLR1","fantom5","21454693"
"1698","IHH","BOC","fantom5","20519495"
"1699","IHH","CDON","fantom5","20519495"
"1700","IHH","HHIP","fantom5,HPMR,HPRD","10050855,11"
"1701","IHH","PTCH1","HPRD,HPMR,fantom5","11562786,98"
"1702","IHH","PTCH2","fantom5,HPRD","9811851"
"1703","IL10","IL10RA","HPRD,HPMR,fantom5,uniprot","12974481,11485736,8248239,8897595,11717514,10231374,7759550"
"1704","IL10","IL10RB","HPMR,uniprot,fantom5,HPRD","12974481,11485736,9312047"
"1705","IL10","SIRPG","fantom5",""
"1706","IL11","IL11RA","fantom5,uniprot,HPMR,HPRD","10948192,7670098,10504396"
"1707","IL11","IL6ST","HPMR,fantom5","10948192"
"1708","IL12A","CD28","HPRD,fantom5","7516408"
"1709","IL12A","IL12RB1","HPMR,fantom5,uniprot","11086056"
"1710","IL12A","IL12RB2","uniprot","943050"
"1711","IL12B","IL12RB1","fantom5,uniprot,HPRD","7843232,753"
"1712","IL12B","IL12RB2","fantom5,uniprot,HPMR,HPRD","11086056,12"
"1713","IL12B","IL23R","fantom5","17587057"
"1714","IL13","IL13RA1","fantom5,uniprot,HPMR,HPRD","12704343,11"
"1715","IL13","IL13RA2","uniprot,fantom5,HPMR,HPRD","12704343,11"
"1716","IL13","IL4R","HPRD,HPMR,fantom5,uniprot","12704343,12"
"1717","IL15","IL15RA","HPRD,HPMR,uniprot,fantom5","15265897,7641685,16284400"
"1718","IL15","IL2RA","fantom5","8734356"
"1719","IL15","IL2RB","HPMR,fantom5,HPRD","15265897,8026467,9176231"
"1720","IL15","IL2RG","HPRD,fantom5,HPMR","15265897,86"
"1721","IL16","CCR5","fantom5",""
"1722","IL16","CD4","fantom5,HPRD","1851800,791"
"1723","IL16","GRIN2C","fantom5,HPRD","10479680"
"1724","IL16","GRIN2D","HPRD,fantom5","10479680"
"1725","IL16","KCNA3","HPRD,fantom5","10479680"
"1726","IL16","KCND1","fantom5,HPRD","10479680"
"1727","IL16","KCND2","HPRD,fantom5","10479680"
"1728","IL16","KCNJ10","fantom5,HPRD","10479680"
"1729","IL16","KCNJ15","HPRD,fantom5","10479680"
"1730","IL16","KCNJ4","HPRD,fantom5","10479680"
"1731","IL17A","IL17RA","uniprot,fantom5,HPMR,HPRD","9367539"
"1732","IL17A","IL17RC","uniprot,fantom5","18684971"
"1733","IL17B","IL17RB","HPRD,HPMR,uniprot,fantom5","10749887"
"1734","IL17C","IL17RE","uniprot",""
"1735","IL17F","IL17RA","fantom5,uniprot","18684971"
"1736","IL17F","IL17RC","uniprot",""
"1737","IL18","CD48","fantom5",""
"1738","IL18","IL18BP","uniprot",""
"1739","IL18","IL18R1","HPRD,fantom5,uniprot,HPMR","9325300"
"1740","IL18","IL18RAP","HPRD,uniprot,fantom5","9792649"
"1741","IL18","IL1RAPL1","fantom5,HPMR","9325300"
"1742","IL18","IL1RL2","HPRD,fantom5","9325300"
"1743","IL19","IL20RA","HPRD,HPMR,fantom5,uniprot","12974481,12"
"1744","IL19","IL20RB","HPMR,fantom5,uniprot","12974481"
"1745","IL1A","IL1R1","uniprot,fantom5,HPMR,HPRD","2946959"
"1746","IL1A","IL1R2","HPRD,fantom5,uniprot,HPMR","7878046"
"1747","IL1A","IL1RAP","fantom5,HPRD","9820540"
"1748","IL1B","ADRB2","fantom5,HPRD","11238007"
"1749","IL1B","IL1R1","HPRD,uniprot,fantom5,HPMR","62193,9820540,9062193"
"1750","IL1B","IL1R2","HPRD,HPMR,fantom5,uniprot","8332913,788"
"1751","IL1B","IL1RAP","HPRD,HPMR,fantom5","9820540"
"1752","IL1F10","IL1R1","HPRD,fantom5","11278614"
"1753","IL1F10","IL1RL2","uniprot",""
"1754","IL1RN","IL1R1","fantom5,HPRD","11641511,91"
"1755","IL1RN","IL1R2","fantom5,HPRD","1834644"
"1756","IL1RN","IL1RL2","fantom5",""
"1757","IL20","IL20RA","HPMR,fantom5,uniprot,HPRD","12974481,11163236,12351624,14580208"
