"","ligand","receptor","source","PMIDs"
"2255","NTF3","NTRK3","HPRD,uniprot,IUPHAR,fantom5,HPMR","7679912,9488719,9973222"
"2256","NTF4","NGFR","HPRD,IUPHAR,fantom5","7541633"
"2257","NTF4","NGFRAP1","HPMR,fantom5","7679912"
"2258","NTF4","NTRK1","fantom5,HPMR","11114882"
"2259","NTF4","NTRK2","HPRD,uniprot,fantom5,HPMR","7679912,119"
"2260","NTN1","ADORA2B","HPRD,fantom5","11048721"
"2261","NTN1","DCC","HPRD,fantom5,HPMR","8861902,10399920,9950216,12810718"
"2262","NTN1","NEO1","fantom5,HPRD","8861902,126"
"2263","NTN1","UNC5A","fantom5","9126742"
"2264","NTN1","UNC5B","fantom5","9126742"
"2265","NTN1","UNC5C","HPMR,fantom5,HPRD","12810718,1"
"2266","NTN1","UNC5D","fantom5","9126742"
"2267","NTN3","CDON","fantom5,HPMR","15520228"
"2268","NTN3","NEO1","HPMR,fantom5,HPRD","15520228,1"
"2269","NTN4","DCC","HPMR,fantom5","17174565"
"2270","NTN4","UNC5A","fantom5,HPMR","17174565"
"2271","NTNG1","LRRC4C","fantom5,HPMR,HPRD","14595443"
"2272","NTNG2","LRRC4","fantom5","17973922"
"2273","NTNG2","LRRC4C","fantom5",""
"2274","NTS","NGFR","fantom5",""
"2275","NTS","NTSR1","HPRD,IUPHAR,fantom5,HPMR","1331689,1694443,11811984,11723247,10930533,11559354,16087676"
"2276","NTS","NTSR2","HPRD,HPMR,IUPHAR,fantom5","9851594,11723247,11801734,16087676"
"2277","NTS","SORT1","HPRD,fantom5","9756851,161"
"2278","NUCB2","ERAP1","fantom5,HPMR",""
"2279","NXPH1","NRXN1","fantom5,HPMR,HPRD","9856994,8699246,9856994"
"2280","NXPH1","NRXN2","HPMR,fantom5","9856994"
"2281","NXPH1","NRXN3","HPMR,fantom5","9856994"
"2282","NXPH2","NRXN1","HPRD,fantom5","8699246"
"2283","NXPH3","NRXN1","HPMR,fantom5,HPRD","9856994"
"2284","NXPH3","NRXN2","fantom5,HPMR","9856994"
"2285","NXPH3","NRXN3","fantom5,HPMR","9856994"
"2286","OBP2A","OR1G1","HPRD,fantom5","12379593"
"2287","OLAH","MOG","fantom5",""
"2288","OLFM2","ROBO2","HPRD,fantom5","16169070"
"2289","OMG","LINGO1","HPMR,fantom5","14966521"
"2290","OMG","NGFR","fantom5",""
"2291","OMG","RTN4R","fantom5","12068310"
"2292","OMG","RTN4RL1","fantom5,HPRD","12068310"
"2293","OMG","TNFRSF1B","fantom5,HPMR","14966521"
"2294","ORM1","CCR5","HPRD,fantom5","11336643"
"2295","OSM","IL6ST","HPRD,HPMR,fantom5,uniprot","10854424,8999038,8999038,16051226"
"2296","OSM","LIFR","uniprot,fantom5,HPMR,HPRD","10854424,1542794,1536831,16051226"
"2297","OSM","OSMR","HPRD,HPMR,fantom5,uniprot","8999038,10997905,8999038"
"2298","OSTN","NPR3","fantom5,IUPHAR","17951249"
"2299","OXT","AVPR1A","fantom5,IUPHAR","8106369,9884074,9334232,9322919,9459574,9264324,10519430,12660315"
"2300","OXT","AVPR1B","IUPHAR,fantom5","9884074,9322919,9459574,9264324,16158071"
"2301","OXT","AVPR2","IUPHAR,fantom5","9884074,9322919,9459574,9264324,7774575,12660315"
"2302","OXT","OXTR","HPRD,IUPHAR,fantom5,HPMR","1313946,10519430,7774575,12660315,16158071,7475979,8955347,10698266"
"2303","P4HB","GPR162","fantom5",""
"2304","P4HB","MTTP","reactome",""
"2305","PAPLN","NECTIN4","fantom5",""
"2306","PAPLN","SIRPA","fantom5",""
"2307","PCSK9","LDLR","reactome",""
"2308","PCSK9","VLDLR","fantom5,reactome","17452316"
"2309","PDAP1","PDGFRB","fantom5,HPRD","11331882"
"2310","PDCD1LG2","PDCD2","literature","15207811,25"
"2311","PDGFA","PDGFRA","HPRD,HPMR,fantom5,uniprot","15207811,25"
"2312","PDGFA","PDGFRB","reactome,fantom5,uniprot",""
"2313","PDGFB","ART1","HPRD,fantom5","11498506"
"2314","PDGFB","ITGAV","fantom5",""
"2315","PDGFB","LRP1","fantom5,HPRD","11854294"
"2316","PDGFB","PDGFRA","HPMR,fantom5,uniprot,HPRD","15207811,25"
"2317","PDGFB","PDGFRB","HPRD,HPMR,fantom5,uniprot","2850496,119"
"2318","PDGFB","S1PR1","fantom5",""
"2319","PDGFC","FLT1","fantom5",""
"2320","PDGFC","FLT4","fantom5,IUPHAR",""
"2321","PDGFC","KDR","IUPHAR,fantom5",""
"2322","PDGFC","PDGFRA","HPRD,HPMR,fantom5","10806482,11297552,10806482,11342471"
"2323","PDGFC","PDGFRB","fantom5",""
"2324","PDGFD","PDGFRA","fantom5",""
"2325","PDGFD","PDGFRB","HPMR,fantom5,HPRD","15207811,15"
"2326","PDX1","SLC2A2","HPRD,fantom5",""
"2327","PDYN","ADRA2A","reactome",""
"2328","PDYN","GRM7","reactome",""
"2329","PDYN","MTNR1A","reactome",""
"2330","PDYN","OPRD1","fantom5,IUPHAR","9686407"
"2331","PDYN","OPRK1","HPMR,IUPHAR,fantom5","8170987,7869844,7624359,9686407,9262330,1967312"
"2332","PDYN","OPRM1","IUPHAR,fantom5","9686407"
"2333","PENK","ADRA2A","reactome",""
"2334","PENK","GRM7","reactome",""
"2335","PENK","MRGPRX1","IUPHAR,fantom5","15163697,11850634,23396314"
"2336","PENK","MTNR1A","reactome",""
"2337","PENK","OGFR","HPMR,fantom5","16820893"
"2338","PENK","OPRD1","IUPHAR,fantom5","9686407"
"2339","PENK","OPRK1","fantom5",""
"2340","PENK","OPRM1","IUPHAR,fantom5","9686407"
"2341","PF4","ADRA2A","reactome",""
"2342","PF4","CXCR3","HPRD,fantom5,literature,uniprot","10699158"
"2343","PF4","FGFR2","HPMR,fantom5","9558385"
"2344","PF4","GRM7","reactome",""
"2345","PF4","LDLR","HPMR,fantom5,HPRD","11986215"
"2346","PF4","MTNR1A","reactome",""
"2347","PF4","PROCR","fantom5,HPMR","9395524"
"2348","PF4","SDC2","HPRD,fantom5","7524669"
"2349","PF4","THBD","HPRD,fantom5,HPMR","9395524"
"2350","PGF","FLT1","HPRD,fantom5","9452434,147"
"2351","PGF","NRP1","fantom5,HPMR,HPRD","11986311"
"2352","PGF","NRP2","fantom5,HPRD","10748121"
"2353","PI3","PLD2","fantom5",""
"2354","PIGF","FLT1","fantom5","7929268"
"2355","PIK3CD-AS1","LY6G6C","fantom5",""
"2356","PIK3CD-AS1","SLC16A4","fantom5",""
"2357","PIP","CD4","HPRD,fantom5","10820003"
"2358","PIP","NPTN","fantom5",""
"2359","PKM","CD44","fantom5",""
"2360","PLA2G10","PLA2R1","fantom5,HPRD","11019817,11"
"2361","PLAT","ITGAM","fantom5",""
"2362","PLAT","ITGB2","fantom5",""
"2363","PLAT","LRP1","HPRD,HPMR,fantom5","11560943,10632583,1502153"
"2364","PLAU","IGF2R","fantom5,HPRD","9566979"
"2365","PLAU","ITGA3","fantom5",""
"2366","PLAU","ITGA5","fantom5",""
"2367","PLAU","ITGAM","fantom5",""
"2368","PLAU","ITGAV","fantom5",""
"2369","PLAU","ITGB1","fantom5",""
"2370","PLAU","ITGB2","fantom5",""
"2371","PLAU","ITGB5","fantom5",""
"2372","PLAU","LRP1","HPMR,fantom5","11560943"
"2373","PLAU","LRP2","HPRD,fantom5","8344937"
"2374","PLAU","MRC2","fantom5",""
"2375","PLAU","PLAUR","HPRD,HPMR,fantom5","16456079,3031025,11501527,3023326"
"2376","PLAU","ST14","HPRD,fantom5","10962009"
"2377","PLAU","VLDLR","fantom5",""
"2378","PLG","F2R","fantom5,HPRD","10978167"
"2379","PLG","F2RL1","HPRD,fantom5","12604689,10978167,9020112"
"2380","PLG","F3","fantom5,HPRD","9490681"
"2381","PLG","FLT1","fantom5",""
"2382","PLG","ITGA9","fantom5,HPMR","15247268"
"2383","PLG","ITGAM","fantom5",""
"2384","PLG","ITGB1","fantom5,HPMR","15247268"
"2385","PLG","ITGB2","fantom5",""
"2386","PLG","PLAUR","fantom5",""
"2387","PLG","PLGRKT","fantom5","19897580"
"2388","PLTP","ABCA1","HPRD,fantom5","14559902"
"2389","SEMA4A","PLXNB1","uniprot",""
"2390","SEMA4A","PLXNB2","uniprot",""
"2391","SEMA4A","PLXNB3","uniprot",""
"2392","SEMA4A","PLXND1","uniprot",""
"2393","PMCH","ADRA2A","reactome",""
"2394","PMCH","GRM7","reactome",""
"2395","PMCH","MCHR1","HPRD,fantom5,IUPHAR,HPMR","10421368,10421367,11375253,11478907,11839762"
"2396","PMCH","MCHR2","HPRD,fantom5,IUPHAR,HPMR","10471841,11404457,11416225,11404457,11274220,11478907,11839762"
"2397","PMCH","MTNR1A","reactome",""
"2398","PNOC","ADRA2A","reactome",""
"2399","PNOC","GRM7","reactome",""
"2400","PNOC","MTNR1A","reactome",""
"2401","PNOC","OPRL1","HPMR,IUPHAR,fantom5,HPRD","7481766,12967935,8849681,10369464,12070757,22827708,10692489,11097863"
"2402","PODXL2","SELL","fantom5,HPMR,HPRD","12889478"
"2403","PODXL","SELL","fantom5,HPRD","9625756"
"2404","POMC","ADCYAP1R1","reactome",""
"2405","POMC","ADRA2A","reactome",""
"2406","POMC","ADRB2","reactome",""
"2407","POMC","ADRB3","reactome",""
"2408","POMC","GPR20","reactome",""
"2409","POMC","GPR84","reactome",""
"2410","POMC","GRM7","reactome",""
"2411","POMC","MC1R","HPRD,fantom5,IUPHAR,HPMR","1516719,10942578,7774675,12007532,10942578,11041375"
"2412","POMC","MC2R","HPMR,fantom5,HPRD","9058374,122"
"2413","POMC","MC3R","IUPHAR,fantom5","7774675,10358030,10493100"
"2414","POMC","MC4R","HPRD,fantom5,IUPHAR","8884876,10493100,11101306,12165561"
"2415","POMC","MC5R","HPMR,IUPHAR,fantom5,HPRD","11785979,7774675,12007532,11606131,8185570"
"2416","POMC","MTNR1A","reactome",""
"2417","POMC","OPRD1","HPMR,fantom5,IUPHAR","15464143,97"
"2418","POMC","OPRK1","HPMR,fantom5,IUPHAR","8624732,9686407,7624359"
"2419","POMC","OPRM1","fantom5,HPMR","15464143"
"2420","POMC","PTH1R","reactome",""
"2421","POMC","RAMP2","reactome",""
"2422","POMC","RAMP3","reactome",""
"2423","POMC","TSHR","reactome",""
"2424","POMC","VIPR1","reactome",""
"2425","PON2","HTR2A","fantom5,HPRD","16537434"
"2426","PPBP","ACKR1","literature","10699158"
"2427","PPBP","ADRA2A","reactome",""
"2428","PPBP","CXCR1","fantom5,HPMR,HPRD","8137938,8195702,1427896"
"2429","PPBP","CXCR2","HPRD,literature,IUPHAR,fantom5","10699158"
"2430","PPBP","GRM7","reactome",""
"2431","PPBP","MTNR1A","reactome",""
"2432","PPY","ADRA2A","reactome",""
"2433","PPY","GRM7","reactome",""
"2434","PPY","MTNR1A","reactome",""
"2435","PPY","NPY1R","fantom5",""
"2436","PPY","NPY2R","fantom5",""
"2437","PPY","NPY4R","HPRD,HPMR,IUPHAR,fantom5","8643460,7493937,16807358,7592911,7493937"
"2438","PPY","NPY5R","fantom5,IUPHAR","8824284"
"2439","PRLH","PRLHR","fantom5,IUPHAR,HPMR,HPRD","11030716,12606605,9607765,11030716,10475064"
"2440","PRL","PRLR","HPRD,IUPHAR,fantom5,HPMR","2558309,11356126,9626554,10966654,7984244"
"2441","PRND","RPSA","HPRD,HPMR,fantom5","15246873"
"2442","PROC","ITGAM","fantom5",""
"2443","PROC","ITGB2","fantom5",""
"2444","PROC","PROCR","HPMR,fantom5,HPRD","7929370,11099506,10681521"
"2445","PROC","THBD","HPRD,fantom5","11106601,13"
"2446","PROK1","PROKR1","HPMR,IUPHAR,fantom5","11886876,12054613,15772293"
"2447","PROK1","PROKR2","fantom5,IUPHAR,HPMR","11886876,12054613,15772293"
"2448","PROK2","PROKR1","fantom5,IUPHAR","12054613,16"
"2449","PROK2","PROKR2","IUPHAR,fantom5,HPMR","12024206,12054613,15772293"
"2450","PROS1","AXL","IUPHAR,fantom5,HPMR","7867073"
"2451","PROS1","TYRO3","HPRD,HPMR,fantom5,IUPHAR","7867073,864"
"2452","PRSS23","TMEM222","fantom5,HPRD","16169070"
"2453","PSAP","CD1B","fantom5,HPRD","14716313"
"2454","PSAP","CELSR1","HPRD,fantom5","16169070"
"2455","PSAP","GPR37","IUPHAR,fantom5,HPMR,reactome","23690594"
"2456","PSAP","GPR37L1","reactome,fantom5,IUPHAR,HPMR","23690594"
"2457","PSAP","LRP1","fantom5,HPMR","9707421"
"2458","PSAP","SORT1","fantom5",""
"2459","PSEN1","CD44","fantom5",""
"2460","PSEN1","NCSTN","HPRD,HPMR,fantom5","10993067,13"
"2461","PSEN1","NOTCH1","fantom5,HPRD","10077672,10206645,12374741"
"2462","PSEN1","NOTCH2","HPRD,fantom5","11518718"
"2463","PSEN1","NOTCH3","fantom5,HPRD","11518718"
"2464","PSEN1","NOTCH4","fantom5,HPRD","11518718"
"2465","PSPN","GFRA1","reactome,fantom5","20350599"
"2466","PSPN","GFRA2","reactome",""
"2467","PSPN","GFRA3","reactome",""
"2468","PSPN","GFRA4","HPRD,fantom5,HPMR","11116144"
"2469","PSPN","RET","reactome,fantom5,HPMR","11116144"
"2470","PSPN","SDC3","fantom5",""
"2471","PTDSS1","JMJD6","fantom5,HPMR","10811223"
"2472","PTDSS1","SCARB1","fantom5,HPMR","8999945"
"2473","PTGS2","ALOX5","fantom5",""
"2474","PTGS2","CAV1","fantom5,HPRD","11432874"
"2475","PTGS2","PTGDR2","fantom5,HPMR","11208866"
"2476","PTH2","ADCYAP1R1","reactome",""
"2477","PTH2","ADRB2","reactome",""
"2478","PTH2","ADRB3","reactome",""
"2479","PTH2","GPR20","reactome",""
"2480","PTH2","GPR84","reactome",""
"2481","PTH2","PTH1R","IUPHAR,fantom5,reactome","11159842,11"
"2482","PTH2","PTH2R","fantom5,IUPHAR,HPMR,HPRD","11861531,10854439,11602681"
"2483","PTH2","RAMP2","reactome",""
"2484","PTH2","RAMP3","reactome",""
"2485","PTH2","TSHR","reactome",""
"2486","PTH2","VIPR1","reactome",""
"2487","PTHLH","ADCYAP1R1","reactome",""
"2488","PTHLH","ADRB2","reactome",""
"2489","PTHLH","ADRB3","reactome",""
"2490","PTHLH","GPR20","reactome",""
"2491","PTHLH","GPR84","reactome",""
"2492","PTHLH","PRLHR","IUPHAR,fantom5",""
"2493","PTHLH","PTH1R","fantom5,IUPHAR,HPMR,HPRD,reactome","2558877,8702701,9108031"
"2494","PTHLH","PTH2R","fantom5,IUPHAR","8702701"
"2495","PTHLH","RAMP2","reactome",""
"2496","PTHLH","RAMP3","reactome",""
"2497","PTHLH","TSHR","reactome",""
"2498","PTHLH","VIPR1","reactome",""
"2499","PTH","ADCYAP1R1","reactome",""
"2500","PTH","ADRB2","reactome",""
"2501","PTH","ADRB3","reactome",""
"2502","PTH","GPR20","reactome",""
"2503","PTH","GPR84","reactome",""
"2504","PTH","PTH1R","HPMR,fantom5,reactome,HPRD","12947048,91"
"2505","PTH","PTH2R","fantom5,HPMR,HPRD","7797535,948"
"2506","PTH","RAMP2","reactome",""
"2507","PTH","RAMP3","reactome",""
"2508","PTH","TSHR","reactome",""
"2509","PTH","VIPR1","reactome",""
"2510","PTMA","VIPR1","HPRD,fantom5","8886855"
"2511","PTN","ALK","HPRD,fantom5","11278720"
"2512","PTN","CDH10","fantom5,HPRD","16169070"
"2513","PTN","PLXNB2","fantom5,HPRD","16169070"
"2514","PTN","PTPRS","HPRD,fantom5","16169070"
"2515","PTN","PTPRZ1","uniprot,fantom5,HPMR,HPRD","10706604,17"
"2516","PTN","SDC1","fantom5,HPRD","7592855"
"2517","PTN","SDC3","HPRD,fantom5","8175719"
"2518","PVR","CD226","uniprot",""
"2519","PVR","CD96","uniprot",""
"2520","PVR","TIGIT","uniprot",""
"2521","PYY","ADRA2A","reactome",""
"2522","PYY","FAP","fantom5","21314817"
"2523","PYY","GRM7","reactome",""
"2524","PYY","MTNR1A","reactome",""
"2525","PYY","NPY1R","HPRD,fantom5,HPMR","9549761,127"
"2526","PYY","NPY2R","fantom5,IUPHAR,HPRD","8632753,7592910,11408607"
"2527","PYY","NPY4R","HPMR,IUPHAR,fantom5,HPRD","7592911,749"
"2528","PYY","NPY5R","fantom5,HPMR,HPRD","11825645,13"
"2529","QDPR","DYSF","fantom5",""
"2530","QRFP","P2RY14","HPMR,fantom5","12714592"
"2531","QRFP","QRFPR","IUPHAR,fantom5,HPMR","12714592,16500002,23396314,12714592"
"2532","RAET1E","KLRK1","fantom5,HPRD","12732206,15"
"2533","RARRES2","CCRL2","fantom5","18794339"
"2534","RARRES2","CMKLR1","IUPHAR,fantom5,HPMR","14675762,18165312,14530373,14701797,23396314"
"2535","RARRES2","GPR1","IUPHAR,fantom5","18165312,23"
"2536","RBP3","NOTCH1","HPRD,fantom5","11511084"
"2537","RBP4","STRA6","fantom5","23959802"
"2538","RELN","ITGA3","HPMR,fantom5","10939329"
"2539","RELN","ITGB1","fantom5,HPMR","10939329"
"2540","RELN","LRP8","HPMR,fantom5,HPRD","12899622,10571240,12899622,12670700,12167620"
"2541","RELN","VLDLR","HPMR,fantom5,reactome,HPRD","10571240,11"
"2542","REN","ASIC3","fantom5",""
"2543","REN","ATP6AP2","fantom5,HPMR,HPRD","12045255"
"2544","RGMA","BMPR1B","fantom5",""
"2545","RGMA","BMPR2","fantom5",""
"2546","RGMA","HFE2","fantom5",""
"2547","RGMA","NEO1","fantom5,HPMR","15258590"
"2548","RGMB","BMPR1B","fantom5",""
"2549","RGMB","BMPR2","fantom5",""
"2550","RGMB","HFE2","fantom5",""
"2551","RGMB","NEO1","fantom5","19944164"
"2552","RIMS1","CACNA1C","fantom5,HPRD","11438519"
"2553","RIMS1","SLC17A7","fantom5",""
"2554","RIMS1","SLC18A2","fantom5",""
"2555","RIMS1","SLC18A3","fantom5",""
"2556","RIMS2","ABCA1","fantom5,HPRD","16192289"
"2557","RLN1","RXFP1","HPRD,HPMR,fantom5,IUPHAR","11809971,16"
"2558","RLN1","RXFP2","IUPHAR,fantom5,HPMR","11809971,16"
"2559","RLN2","ADCYAP1R1","reactome",""
"2560","RLN2","ADRB2","reactome",""
"2561","RLN2","ADRB3","reactome",""
"2562","RLN2","GPR20","reactome",""
"2563","RLN2","GPR84","reactome",""
"2564","RLN2","PTH1R","reactome",""
"2565","RLN2","RAMP2","reactome",""
"2566","RLN2","RAMP3","reactome",""
"2567","RLN2","RXFP1","HPRD,fantom5,IUPHAR,HPMR","11809971,12506116,15649866"
"2568","RLN2","RXFP2","IUPHAR,fantom5,HPMR,HPRD","11809971,15649866,12506116,15649866"
"2569","RLN2","TSHR","reactome",""
"2570","RLN2","VIPR1","reactome",""
"2571","RLN3","ADCYAP1R1","reactome",""
"2572","RLN3","ADRA2A","reactome",""
"2573","RLN3","ADRB2","reactome",""
"2574","RLN3","ADRB3","reactome",""
"2575","RLN3","GPR20","reactome",""
"2576","RLN3","GPR84","reactome",""
"2577","RLN3","GRM7","reactome",""
"2578","RLN3","MTNR1A","reactome",""
"2579","RLN3","PTH1R","reactome",""
"2580","RLN3","RAMP2","reactome",""
"2581","RLN3","RAMP3","reactome",""
"2582","RLN3","RXFP1","HPRD,IUPHAR,fantom5,HPMR","12506116,15649866,14522968"
"2583","RLN3","RXFP2","fantom5,IUPHAR","16411781"
"2584","RLN3","RXFP4","HPMR,fantom5,IUPHAR,HPRD","14522967"
"2585","RLN3","TSHR","reactome",""
"2586","RLN3","VIPR1","reactome",""
"2587","RNASE2","TLR2","fantom5","18195069"
"2588","RPH3A","NRXN1","fantom5,HPRD","8901523"
"2589","RPS19","C5AR1","fantom5,IUPHAR,HPRD","11107061,12"
"2590","RPS27A","ADRB2","reactome",""
"2591","RPS27A","ERBB2","reactome",""
"2592","RPS27A","FGFR2","reactome",""
"2593","RPS27A","LDLR","reactome",""
"2594","RPS27A","LRP2","reactome",""
"2595","RPS27A","RIPK1","reactome",""
"2596","RPS27A","SMAD3","reactome",""
"2597","RPS27A","TGFBR1","reactome",""
"2598","RPS27A","TGFBR2","reactome",""
"2599","RPS27A","TLR4","reactome",""
"2600","RSPO1","FZD8","fantom5",""
"2601","RSPO1","LGR4","IUPHAR,fantom5,HPMR","21693646"
"2602","RSPO1","LGR5","HPMR,IUPHAR,fantom5","21693646"
"2603","RSPO1","LGR6","fantom5,IUPHAR","21727895,22"
"2604","RSPO1","LRP6","HPMR,fantom5","18400942"
"2605","RSPO1","ZNRF3","fantom5","24349440"
"2606","RSPO2","LGR4","IUPHAR,fantom5,HPMR","21693646"
"2607","RSPO2","LGR5","IUPHAR,fantom5,HPMR","21693646"
"2608","RSPO2","LGR6","IUPHAR,fantom5","21727895,22"
"2609","RSPO3","FZD8","fantom5","16543246"
"2610","RSPO3","LGR4","IUPHAR,fantom5,HPMR","21693646,21909076,21693646"
"2611","RSPO3","LGR5","HPMR,fantom5,IUPHAR","21693646"
"2612","RSPO3","LGR6","IUPHAR,fantom5","21727895,22"
"2613","RSPO3","LRP6","fantom5","16543246"
"2614","RSPO3","SDC4","fantom5","21397842"
"2615","RSPO4","LGR4","IUPHAR,fantom5,HPMR","21693646"
"2616","RSPO4","LGR5","HPMR,fantom5,IUPHAR","21693646"
"2617","RSPO4","LGR6","IUPHAR,fantom5","21727895,22"
"2618","RTN4","CNTNAP1","HPRD,fantom5","14592966"
"2619","RTN4","GJB2","fantom5",""
"2620","RTN4","LINGO1","fantom5,HPMR","15694322"
"2621","RTN4","NGFR","fantom5",""
"2622","RTN4","RTN4R","fantom5,HPMR,HPRD","11201742,16"
"2623","RTN4","RTN4RL1","fantom5",""
"2624","RTN4","TNFRSF19","fantom5,HPMR","15694322"
"2625","S100A1","TLR4","reactome",""
"2626","S100A8","TLR4","reactome,fantom5","17767165"
"2627","S100A9","TLR4","reactome,fantom5","17767165"
"2628","SAA1","ADRA2A","reactome",""
"2629","SAA1","FPR1","HPRD,fantom5","10753626"
"2630","SAA1","FPR2","IUPHAR,fantom5","9892621"
"2631","SAA1","GRM7","reactome",""
"2632","SAA1","MTNR1A","reactome",""
"2633","SAA1","SCARB1","fantom5",""
"2634","SCGB1A1","LMBR1L","HPRD,fantom5","16423471"
"2635","SCGB1A1","LRP2","fantom5,HPRD","11278724"
"2636","SCGB3A1","MARCO","HPRD,fantom5","12847263"
"2637","SCGB3A2","MARCO","HPRD,fantom5","12847263"
"2638","SCT","ADCYAP1R1","reactome",""
"2639","SCT","ADRB2","reactome",""
"2640","SCT","ADRB3","reactome",""
"2641","SCT","GPR20","reactome",""
"2642","SCT","GPR84","reactome",""
"2643","SCT","PTH1R","reactome",""
"2644","SCT","RAMP2","reactome",""
"2645","SCT","RAMP3","reactome",""
"2646","SCT","SCTR","HPRD,HPMR,fantom5,IUPHAR","7782300,7612008,8579602,9440501,7782300"
"2647","SCT","TSHR","reactome",""
"2648","SCT","VIPR1","HPRD,reactome,fantom5","12133828"
"2649","SCT","VIPR2","fantom5","9437714"
"2650","SELPLG","ESAM","fantom5",""
"2651","SELPLG","ITGAM","fantom5",""
"2652","SELPLG","ITGB2","fantom5",""
"2653","SELPLG","SELE","fantom5,HPMR,HPRD","11402070,8621728,9128259"
"2654","SELPLG","SELL","HPRD,fantom5","10725346"
"2655","SELPLG","SELP","HPMR,fantom5,HPRD","9129046,9128259,10713099,17064811"
"2656","SEMA3A","NRP1","HPRD,fantom5,HPMR","10520994,10934324),15721238,9331348"
"2657","SEMA3A","NRP2","fantom5","21059704"
"2658","SEMA3A","PLXNA1","fantom5,HPMR","10520994"
"2659","SEMA3A","PLXNA2","HPMR,fantom5","10934324"
"2660","SEMA3A","PLXNA3","fantom5",""
"2661","SEMA3A","PLXNA4","fantom5,HPMR","15721238"
"2662","SEMA3B","NRP1","HPRD,HPMR,fantom5","10196546"
"2663","SEMA3B","NRP2","fantom5,HPRD","10196546"
"2664","SEMA3C","NRP1","fantom5,HPRD","9331348"
"2665","SEMA3C","NRP2","HPMR,fantom5,HPRD","10196546,93"
"2666","SEMA3C","PLXND1","fantom5","15239958"
"2667","SEMA3D","NRP1","fantom5","15456815"
"2668","SEMA3E","NRP1","fantom5",""
"2669","SEMA3E","PLXND1","fantom5,HPMR","15550623"
"2670","SEMA3F","NRP1","fantom5,HPRD","9883722"
"2671","SEMA3F","NRP2","HPRD,fantom5,HPMR","15721238,99"
"2672","SEMA3F","PLXNA1","fantom5",""
"2673","SEMA3F","PLXNA3","HPMR,fantom5","15721238"
"2674","SEMA3G","NRP2","fantom5","19887479"
"2675","SEMA4A","PLXND1","HPRD,fantom5","17318185"
"2676","SEMA4B","DCBLD2","fantom5","17213806"
"2677","SEMA4C","PLXNB2","fantom5","21122816"
"2678","SEMA4D","CD72","fantom5,HPRD","11114375,13"
"2679","SEMA4D","ERBB2","reactome,fantom5","15210733"
"2680","SEMA4D","MET","fantom5,HPMR","12198496"
"2681","SEMA4D","PLXNB1","HPRD,HPMR,fantom5","10520995,12198496,11937491"
"2682","SEMA4D","PLXNB2","HPMR,fantom5","15330859"
"2683","SEMA4F","NRP2","fantom5,HPRD","9856463"
"2684","SEMA4G","PLXNB2","fantom5","21122816"
"2685","SEMA5A","MET","HPMR,fantom5","15218527"
"2686","SEMA5A","PLXNB3","fantom5,HPMR","15218527"
"2687","SEMA6A","PLXNA2","fantom5","18327254"
"2688","SEMA6A","PLXNA4","fantom5","20606624"
"2689","SEMA6D","KDR","HPMR,fantom5","14977921"
"2690","SEMA6D","PLXNA1","HPRD,HPMR,fantom5","14977921"
"2691","SEMA6D","TREM2","fantom5","16715077"
"2692","SEMA6D","TYROBP","fantom5","16715077"
"2693","SEMA7A","ITGA1","fantom5","7377534"
"2694","SEMA7A","ITGB1","fantom5,reactome","7377534"
"2695","SEMA7A","PLXNC1","fantom5,HPMR,HPRD","10520995"
"2696","SERPINA1","LRP1","HPMR,fantom5,HPRD","8626456,151"
"2697","SERPINA7","SLC16A2","fantom5,HPRD","12871948"
"2698","SERPINC1","GPC1","fantom5",""
"2699","SERPINC1","LRP1","HPMR,fantom5","8626456,146"
"2700","SERPINC1","SDC2","HPRD,fantom5","1315572"
"2701","SERPINE1","ITGAV","fantom5",""
"2702","SERPINE1","ITGB5","fantom5",""
"2703","SERPINE1","LRP1","fantom5,HPMR,HPRD","15001579"
"2704","SERPINE1","LRP2","fantom5,HPRD","8344937"
"2705","SERPINE1","PLAUR","fantom5",""
"2706","SERPINE2","LRP1","fantom5,HPMR","14596620"
"2707","SERPING1","LRP1","fantom5,HPMR","9388254"
"2708","SERPING1","SELE","fantom5,HPRD","14568956"
"2709","SERPING1","SELP","fantom5,HPRD","14568956"
"2710","SFRP1","FZD2","fantom5","6172602"
"2711","SFRP1","FZD6","HPRD,fantom5","10347172"
"2712","SFTPA1","TLR2","HPRD,fantom5","11724772"
"2713","SFTPA2","CD93","fantom5,HPRD","9476117"
"2714","SFTPD","LY96","fantom5",""
"2715","SFTPD","TLR4","fantom5",""
"2716","SHANK1","ABCA1","HPRD,fantom5","16192279"
"2717","SHANK1","ADGRB2","HPRD,fantom5",""
"2718","SHANK1","ADGRL2","HPRD,fantom5",""
"2719","SHANK1","ADGRL1","HPRD,fantom5,HPMR","10964907,11"
"2720","SHANK1","SSTR2","fantom5,HPRD","10551867,11"
"2721","SHBG","CD177","fantom5,HPRD","15862967"
"2722","SHBG","CLDN4","fantom5,HPRD","15862967"
"2723","SHBG","SLC37A1","HPRD,fantom5","15862967"
"2724","SHH","BOC","HPMR,fantom5","17086203"
"2725","SHH","CDON","HPMR,fantom5","17086203"
"2726","SHH","GPC5","fantom5","21339334"
"2727","SHH","HHIP","HPRD,HPMR,fantom5","10050855"
"2728","SHH","LRP2","fantom5","22340494"
