Protein stable ID	Gene name
	Gm28726
	Gm21308
	Gm29267
	Gm29268
	Gm21879
	Gm29269
	Gm28757
	Gm29270
	Gm20856
	Gm28348
	Gm28973
	Gm29271
	Gm29271
	Gm29271
	Gm21734
	Gm28972
	Gm28970
	Gm28971
	Gm28971
	Gm54345
	Gm21785
ENSMUSP00000138074	Gm20854
ENSMUSP00000136905	Gm20854
	Gm28349
	Gm21892
	Gm28346
	Gm28345
	Gm29090
	Gm28152
	Gm28152
	Gm54346
	Gm21881
	Gm21435
	Gm29505
	Gm21862
	Gm28823
	Gm28871
	Gm28220
	Gm28220
	Gm29512
	Gm29511
	Gm29511
	Gm29511
ENSMUSP00000139858	Gm20820
	Gm20880
	Gm28219
	Gm20881
	Gm28218
	Gm28218
	Gm29121
	Gm54347
	Gm29120
	Gm20861
	Gm29117
	Gm29117
	Gm20860
	Gm28057
	Gm21796
	Gm29302
ENSMUSP00000140542	Gm20883
	Gm29119
	Gm29118
	Gm28440
	Gm28440
	Gm29299
	Gm29116
	Gm29116
	Gm20889
	Gm29298
	Gm20887
	Gm29092
	Gm29091
	Gm29320
	Gm21849
	Gm29297
	Gm29297
	Gm21462
	Gm21470
	Gm28366
	Gm29319
	Gm28317
	Gm28318
	Gm28318
	Gm28318
	Gm20884
	Gm28313
	Gm28314
	Gm28315
	Gm29115
	Gm21813
	Gm28316
	Gm28316
	Gm28316
	Gm21387
	Gm21396
	Gm28944
ENSMUSP00000140305	Gm20906
	Gm28943
	Gm29111
	Gm28946
	Gm28110
	Gm28945
	Gm28109
	Gm28108
	Gm28108
	Gm28107
	Gm28106
	Gm28949
	Gm28948
	Gm28716
	Gm28717
	Gm28718
	Gm28950
	Gm28950
	Gm28950
	Gm21245
	Gm29162
	Gm29162
	Gm29169
	Gm21777
	Gm21899
	Gm28866
	Gm29063
	Gm28737
	Gm28405
	Gm28405
	Gm21792
	Gm28738
	Gm28406
	Gm20923
	Gm28978
	Gm29436
	Gm29436
	Gm28197
	Gm28197
	Gm28197
	Gm20819
	Gm21249
	Gm29437
	Gm28736
	Gm28977
	Gm21840
	Gm28407
	Gm28407
	Gm21287
	Gm29390
	Gm28735
	Gm28735
	Gm28735
	Gm29391
	Gm21720
	Gm29392
	Gm28672
	Gm28672
	Gm28734
	Gm21838
	Gm28232
	Gm28670
	Gm28670
	Gm28671
	Gm28732
	Gm28673
	Gm28673
	Gm28733
	Gm28733
	Gm28733
	Gm28674
	Gm28674
	Gm21268
	Gm21275
	Gm28233
	Gm28235
	Gm28234
	Gm21902
	Gm21803
	Gm28930
	Gm20879
	Gm28236
	Gm28236
	Gm28236
	Gm21285
	Gm29504
	Gm29504
ENSMUSP00000139491	Gm20747
ENSMUSP00000136937	Gm20747
	Gm29250
	Gm29251
	Gm21906
	Gm29252
	Gm29248
	Gm29248
	Gm29248
	Gm29249
	Gm29484
	Gm21920
	Gm28908
	Gm28907
	Gm21749
ENSMUSP00000139649	Gm20929
	Gm28910
	Gm28909
	Gm28276
	Gm28274
	Gm28274
	Gm28274
	Gm28275
	Gm21302
	Gm28290
	Gm28292
	Gm28291
	Gm28291
	Gm28291
	Gm28293
	Gm28293
	Gm28293
	Gm21740
	Gm21912
	Gm28698
	Gm29304
	Gm29305
	Gm29303
	Gm29303
	Gm29303
	Gm21894
	Gm29307
	Gm29557
	Gm54348
	Gm20927
	Gm20930
	Gm29306
	Gm29300
	Gm29301
	Gm29301
	Gm29301
	Gm29558
	Gm29555
	Gm29555
	Gm29555
	Gm21733
	Gm21330
	Gm28355
	Gm28354
	Gm28353
	Gm28352
	Gm28200
	Gm28201
	Gm28202
	Gm28202
	Gm28202
	Gm28203
	Gm21340
	Gm28204
	Gm28205
	Gm28206
	Gm28207
	Gm28207
	Gm28207
	Gm28208
	Gm28208
	Gm28208
	Gm21851
	Gm21819
	Gm29224
	Gm29223
	Gm29222
	Gm29221
	Gm29220
	Gm21815
	Gm29132
	Gm29132
	Gm21450
	Gm21843
	Gm28889
	Gm28889
	Gm28691
	Gm28691
	Gm28692
	Gm28692
	Gm20794
	Gm28690
	Gm28690
	Gm28689
	Gm28687
	Gm28687
	Gm20987
	Gm21918
	Gm29207
	Gm29207
	Gm29204
	Gm29204
	Gm21489
	Gm21832
	Gm21573
	Gm21577
	Gm29206
	Gm29614
	Gm29613
	Gm29612
	Gm29343
	Gm29342
	Gm29342
	Gm20804
	Gm28598
	Gm28599
	Gm28185
	Gm29037
ENSMUSP00000136451	Gm20823
	Gm21877
	Gm29548
	Gm29547
	Gm29547
	Gm29546
	Gm29545
	Gm29544
	Gm29209
	Gm29549
	Gm29549
	Gm21530
	Gm21617
	Gm28589
	Gm29420
	Gm29421
	Gm29421
ENSMUSP00000140851	Gm21627
	Gm29422
	Gm28808
	Gm21634
	Gm28446
	Gm29060
	Gm29061
	Gm29061
	Gm20885
	Gm29062
	Gm29057
	Gm29625
	Gm29625
	Gm21654
	Gm29058
	Gm29059
	Gm29628
	Gm29628
	Gm20882
	Gm20907
	Gm29623
	Gm29622
	Gm29265
	Gm29265
ENSMUSP00000140733	Gm20908
	Gm29259
	Gm28860
	Gm28252
	Gm28252
	Gm28859
	Gm20921
	Gm21826
	Gm28254
	Gm28861
	Gm28255
	Gm21171
ENSMUSP00000139614	Gm20924
ENSMUSP00000137639	Gm20924
	Gm21848
	Gm29457
	Gm29457
ENSMUSP00000139870	Gm20736
ENSMUSP00000140139	Gm20736
ENSMUSP00000136973	Gm20736
	Gm28558
	Gm28560
	Gm28561
	Gm29584
	Gm29584
	Gm20936
	Gm20934
	Gm21895
	Gm28134
	Gm28135
	Gm28135
	Gm20933
	Gm28133
	Gm28133
	Gm28137
	Gm28138
	Gm21837
	Gm21910
	Gm21889
	Gm29378
	Gm29379
	Gm29380
	Gm29381
	Gm29381
	Gm28795
ENSMUSP00000140403	Gm20852
ENSMUSP00000135934	Gm20852
	Gm29003
	Gm29003
	Gm29001
	Gm29002
ENSMUSP00000139505	Ssty2
ENSMUSP00000137417	Ssty2
	Gm28646
	Gm28612
	Gm28613
	Gm28611
	Gm21114
	Gm21794
	Gm29219
	Gm29219
	Gm29632
	Gm29631
	Gm29637
	Gm20874
	Gm29082
	Gm29217
	Gm29217
	Gm29636
	Gm29635
	Gm29634
	Gm29639
	Gm21806
	Gm20935
	Gm29662
	Gm29662
	Gm29660
	Gm29661
	Gm29659
ENSMUSP00000139975	Gm20937
ENSMUSP00000140064	Gm20937
ENSMUSP00000136591	Gm20937
	Gm29450
	Gm29450
	Gm29449
	Gm31335
	Gm37690
	Gm37690
	Gm37690
	Gm32114
	Gm32114
	Gm32114
	Gm37075
	Gm37921
	Gm32180
	Gm38371
	Gm38371
	Gm37657
	Gm37448
	Gm33163
	Gm21065
	Gm36978
	Gm37721
	Gm37721
	Gm37721
	Gm37129
	Gm37990
ENSMUSP00000141418	Gm21366
	Gm33954
	Gm33954
	Gm33954
	Gm37538
	Gm21871
	Gm34274
	Gm34217
	Gm21469
	Gm21661
	Gm37952
	Gm37952
	Gm37952
	Gm21907
	Gm37627
	Gm20925
	Gm20926
	Gm37454
	Gm37454
	Gm37454
	Gm38138
	Gm29740
	Gm37840
	Gm37840
	Gm37840
	Gm37574
	Gm21768
	Gm37172
	Gm35670
	Gm20840
	Gm35955
	Gm37687
	Gm37687
	Gm37687
	Gm38296
	Gm38290
	Gm38121
	Gm36047
	Gm36345
	Gm36345
	Gm36345
	Gm37157
	Gm38017
	Gm36468
	Gm21845
ENSMUSP00000140802	Gm20809
ENSMUSP00000137177	Gm20809
	Gm37434
	Gm37434
	Gm37434
	Gm37071
	Gm37071
	Gm37071
	Gm37547
	Gm36968
	Gm37237
	Gm38350
	Gm20858
	Gm31422
	Gm31422
	Gm31422
	Gm37798
	Gm37318
	Gm31572
	Gm21890
	Gm21443
	Gm37346
	Gm37346
	Gm37346
	Gm38136
	Gm37991
	Gm37808
	Gm33571
	Gm32181
	Gm32181
	Gm32181
	Gm28662
	Gm28780
	Gm21755
	Gm20895
	Gm28853
	Gm28853
	Gm28853
	Gm28852
	Gm28855
	Gm28246
	Gm28247
	Gm28248
	Gm20892
	Gm28249
	Gm28249
	Gm28249
	Gm28250
	Gm28251
	Gm28243
	Gm28244
	Gm21771
	Gm21476
	Gm29021
	Gm29021
	Gm29021
	Gm28880
	Gm28452
	Gm28454
	Gm28454
	Gm28454
	Gm28878
	Gm28879
	Gm29369
	Gm21506
	Gm29399
	Gm29399
	Gm29399
	Gm29400
	Gm29401
	Gm20891
	Gm20893
	Gm28799
	Gm28938
	Gm28938
	Gm28938
	Gm28937
	Gm28936
	Gm21642
	Gm21804
	Gm29122
	Gm29122
	Gm29122
	Gm28939
	Gm28983
	Gm28985
	Gm20810
	Gm20811
	Gm28725
	Gm28725
	Gm28984
	Gm28987
	Gm28987
	Gm28986
	Gm29171
	Gm28129
	Gm28129
	Gm28127
	Gm28127
	Gm28128
	Gm21853
	Gm28132
	Gm28130
	Gm28130
	Gm28130
	Gm28131
	Gm28131
	Gm28131
	Gm29317
	Gm29316
	Gm29315
	Gm29315
	Gm28216
	Gm28217
	Gm28093
	Gm28092
	Gm28091
	Gm28091
	Gm28090
	Gm29580
	Gm28089
	Gm28089
	Gm28089
	Gm28088
	Gm28088
	Gm28088
	Gm21529
	Gm21529
	Gm29581
	Gm29581
	Gm21539
	Gm21539
	Gm29578
	Gm29578
	Gm21908
	Gm21780
	Gm21780
	Gm28486
	Gm28486
	Gm21737
	Gm28487
	Gm28487
	Gm28487
ENSMUSP00000139969	Rbmyf4
ENSMUSP00000139527	Rbmyf5
ENSMUSP00000136939	Rbmyf5
	Gm29288
ENSMUSP00000139784	Rbmyf6
ENSMUSP00000136819	Rbmyf6
	Gm21139
ENSMUSP00000140704	Rbmyf7
ENSMUSP00000129249	Rbmyf7
	Gm21147
ENSMUSP00000139659	Rbmyf8
ENSMUSP00000140216	Rbmyf8
ENSMUSP00000137266	Rbmyf8
	Gm21156
	Rhoay-ps2
	Gm2316
ENSMUSP00000141183	Rbmyf9
ENSMUSP00000136808	Rbmyf9
	Gm2325
	Gm28649
	Gm8521
	Gm18177
	Gm28429
	Gm28413
	Gm28412
	Gm8525
	Gm28414
	Gm28648
	Gm28647
	Gm29435
	Vmn2r-ps139
	Gm29038
	Gm28191
	Gm28186
	Gm28241
	Gm28242
	Gm37222
	Gm28357
	Gm29352
	Gm29351
	Gm29350
	Gm29349
	Gm29355
ENSMUSP00000140003	Gm20918
ENSMUSP00000136554	Gm20918
	Gm29161
	Gm28767
	Gm29160
	Gm20915
	Gm28766
	Gm29159
	Gm29198
	Gm29193
	Gm28430
	Gm21746
	Gm28593
