0,1
Lama3,Cd79a
Lama3,Itgb3
Lama3,Robo1
Lama3,Itgb6
Lama3,Gp9
Lama3,Stab2
Lama3,Gp5
Lama3,Gp1ba
Lama3,Gp1bb
Lama2,Egfr
Lama2,Lrp1
Lama2,Itgav
Lama2,Cd44
Lama2,Cd93
Lama2,Lrp2
Lama2,Notch1
Lama2,Cd36
Lama2,Tlr4
Lama2,Itga5
Lama2,Col13a1
Lama2,Itga2b
Lama2,Itga1
Lama2,Mag
Lama2,Flrt2
Lama2,Selp
Lama2,Itga3
Lama2,Cd79a
Lama2,Itgb3
Lama2,Itgb6
Lama2,Stab2
Psen1,Ryr2
Sema6d,Egfr
Sema6d,Lrp6
Sema6d,Lrp1
Sema6d,Lrp2
Sema6d,Selp
Sema6d,Itgb2
Sema3b,Itgav
Sema3b,Itgb1
Sema3b,Cd93
Sema3b,Acvr2a
Sema3b,Itgb2
Rtn4,Selp
Sema6c,Itgav
Sema6c,Itgb1
Sema6c,Cd44
Sema6c,Cd93
Sema6c,Acvr2a
Sema6c,Gpc1
Sema6c,Ret
Sema6c,Itgb5
Sema6c,Mag
Sema6c,Musk
Sema6c,Gpc4
Ntn1,Itgb1
Ntn1,Itgb2
Vcan,Lrp1
Vcan,Itgav
Vcan,Itgb1
Vcan,Lrp2
Vcan,Cd36
Vcan,Tlr4
Vcan,Itga5
Vcan,Ldlr
Vcan,Scarb1
Vcan,Apobr
Vcan,Mttp
Vcan,Lsr
Vcan,Itgb3
Vcan,Itgb6
Nrg2,Itgav
Nrg2,Itgb1
Nrg2,Cd93
Nrg2,Acvr2b
Nrg2,Bmpr1b
Nrg2,Acvr2a
Nrg2,Bmpr1a
Nrg2,Ret
Nrg2,Itgb2
Afdn,Egfr
Afdn,Lrp6
Afdn,Itgb7
Afdn,Lrp1
Afdn,Tlr2
Afdn,Itgav
Afdn,Itgam
Afdn,Erbb2
Afdn,Itgal
Afdn,Itgb1
Afdn,Cd44
Afdn,Lrp2
Afdn,Notch1
Afdn,Nrp1
Afdn,Dcc
Afdn,Lrp8
Afdn,Notch2
Afdn,Vldlr
Afdn,Sell
Afdn,Itga8
Afdn,Tlr4
Afdn,Plxna4
Afdn,Itga5
Afdn,Itga4
Afdn,Itga2b
Afdn,Itga9
Afdn,Erbb3
Afdn,Plxna1
Afdn,Selp
Afdn,Cntn1
Afdn,Itgb2
Afdn,Itga3
Afdn,Sdc4
Afdn,Itgb3
Afdn,Itgb6
Afdn,Robo4
Reln,Egfr
Reln,Itgb7
Reln,Lrp1
Reln,Itgav
Reln,Cd44
Reln,Cd93
Reln,Lrp2
Reln,Itga7
Reln,Cd36
Reln,Tlr4
Reln,Itga2
Reln,Mag
Reln,Robo2
Reln,Ldlr
Reln,Scarb1
Reln,Flrt2
Reln,Selp
Reln,Itgb2
Reln,Lsr
Reln,Cd79a
Reln,Itgb6
Slit2,Egfr
Slit2,Lrp6
Slit2,Lrp1
Slit2,Itgav
Slit2,Itgb1
Slit2,Cd44
Slit2,Lrp2
Slit2,Notch1
Slit2,Notch3
Slit2,Nrp1
Slit2,Notch2
Slit2,Vldlr
Slit2,Tlr4
Slit2,Itga5
Slit2,Itga2b
Slit2,Ldlr
Slit2,Selp
Slit2,Itgb2
Slit2,Itga3
Slit2,Itgb3
Slit2,Itgb6
Col9a3,Itgav
Col9a3,Itgb1
