"","ligand","receptor"
"1771","TGFB3","ENG"
"1772","TGFB3","TGFBR1"
"1773","TGFB3","TGFBR2"
"1774","TGFB3","TGFBR3"
"1775","TGM2","GPR56"
"1776","TGM2","ITGB1"
"1777","TGM2","ITGB3"
"1778","TGM2","SDC4"
"1779","TG","ASGR1"
"1780","TG","LRP2"
"1781","THBS1","CD36"
"1782","THBS1","CD47"
"1783","THBS1","ITGA2B"
"1784","THBS1","ITGA3"
"1785","THBS1","ITGA4"
"1786","THBS1","ITGA6"
"1787","THBS1","ITGB1"
"1788","THBS1","ITGB3"
"1789","THBS1","LRP1"
"1790","THBS1","LRP5"
"1791","THBS1","SDC1"
"1792","THBS1","TNFRSF11B"
"1793","THBS2","CD47"
"1794","THBS2","ITGA4"
"1795","THBS2","ITGA6"
"1796","THBS2","ITGB1"
"1797","THBS2","NOTCH3"
"1798","THPO","MPL"
"1799","TIMP1","CD63"
"1800","TIMP2","ITGA3"
"1801","TIMP2","ITGB1"
"1802","TIMP3","AGTR2"
"1803","TIMP3","KDR"
"1804","TNC","CNTN1"
"1805","TNC","EGFR"
"1806","TNC","ITGA5"
"1807","TNC","ITGA7"
"1808","TNC","ITGB1"
"1809","TNC","PTPRB"
"1810","TNFSF10","TNFRSF11B"
"1811","TNFSF11","TNFRSF11A"
"1812","TNFSF11","TNFRSF11B"
"1813","TNFSF12","TNFRSF12A"
"1814","TNFSF12","TNFRSF25"
"1815","TNFSF13B","TNFRSF13B"
"1816","TNFSF13B","TNFRSF13C"
"1817","TNFSF13B","TNFRSF17"
"1818","TNFSF13","FAS"
"1819","TNFSF13","SDC2"
"1820","TNFSF13","TNFRSF11B"
"1821","TNFSF13","TNFRSF13B"
"1822","TNFSF13","TNFRSF14"
"1823","TNFSF13","TNFRSF17"
"1824","TNFSF13","TNFRSF1A"
"1825","TNFSF14","TNFRSF6B"
"1826","TNFSF15","TNFRSF6B"
"1827","TNFSF4","TRAF2"
"1828","TNFSF9","TRAF2"
"1829","TNF","TNFRSF1A"
"1830","TNF","TNFRSF21"
"1831","TNF","TRAF2"
"1832","TRH","TRHR"
"1833","TSHB","TSHR"
"1834","TSLP","IL7R"
"1835","UCN2","CRHR1"
"1836","UCN2","CRHR2"
"1837","UCN2","IL10RB"
"1838","UCN3","CRHR1"
"1839","UCN3","CRHR2"
"1840","UCN3","IL10RB"
"1841","UCN","CRHR1"
"1842","UCN","CRHR2"
"1843","ULBP2","KLRK1"
"1844","UTS2B","UTS2R"
"1845","UTS2","UTS2R"
"1846","VASP","CXCR2"
"1847","VCAM1","ITGA4"
"1848","VCAM1","ITGAD"
"1849","VCAM1","ITGB1"
"1850","VCAM1","ITGB2"
"1851","VCAM1","ITGB7"
"1852","VCAN","CD44"
"1853","VCAN","EGFR"
"1854","VCAN","ITGA4"
"1855","VCAN","ITGB1"
"1856","VCAN","SELP"
"1857","VCAN","TLR2"
"1858","VEGFA","EPHB2"
"1859","VEGFA","FLT1"
"1860","VEGFA","GPC1"
"1861","VEGFA","KDR"
"1862","VEGFA","NRP1"
"1863","VEGFA","NRP2"
"1864","VEGFB","FLT1"
"1865","VEGFB","NRP1"
"1866","VEGFC","FLT4"
"1867","VEGFC","KDR"
"1868","VEGFC","NRP2"
"1869","VEGFC","VIPR2"
"1870","VIM","CD44"
"1871","VIP","ADCYAP1R1"
"1872","VIP","SCTR"
"1873","VIP","VIPR1"
"1874","VIP","VIPR2"
"1875","VTN","ITGA5"
"1876","VTN","ITGA8"
"1877","VTN","ITGAV"
"1878","VTN","ITGB3"
"1879","VTN","ITGB6"
"1880","VTN","ITGB8"
"1881","VTN","PLAUR"
"1882","VTN","PVR"
"1883","VTN","TNFRSF11B"
"1884","VWF","GP1BA"
"1885","VWF","ITGA2B"
"1886","VWF","TNFRSF11B"
"1887","WNT11","FZD7"
"1888","WNT1","FZD3"
"1889","WNT1","FZD8"
"1890","WNT1","FZD9"
"1891","WNT1","LRP5"
"1892","WNT1","LRP6"
"1893","WNT1","RYK"
"1894","WNT2","FZD1"
"1895","WNT2","FZD5"
"1896","WNT2","FZD7"
"1897","WNT2","FZD8"
"1898","WNT2","FZD9"
"1899","WNT3A","APCDD1"
"1900","WNT3A","FZD1"
"1901","WNT3A","FZD2"
"1902","WNT3A","FZD5"
"1903","WNT3A","FZD6"
"1904","WNT3A","FZD7"
"1905","WNT3A","FZD8"
"1906","WNT3A","LRP1"
"1907","WNT3A","LRP6"
"1908","WNT3A","RYK"
"1909","WNT3","FZD1"
"1910","WNT3","FZD7"
"1911","WNT3","FZD8"
"1912","WNT3","LRP6"
"1913","WNT3","RYK"
"1914","WNT4","FZD2"
"1915","WNT4","FZD6"
"1916","WNT5A","FZD1"
"1917","WNT5A","FZD2"
"1918","WNT5A","FZD4"
"1919","WNT5A","FZD5"
"1920","WNT5A","FZD6"
"1921","WNT5A","FZD7"
"1922","WNT5A","FZD8"
"1923","WNT5A","LRP5"
"1924","WNT5A","MCAM"
"1925","WNT5A","ROR1"
"1926","WNT5A","ROR2"
"1927","WNT5A","RYK"
"1928","WNT7A","FZD10"
"1929","WNT7A","FZD5"
"1930","WNT7A","FZD9"
"1931","WNT7B","FZD1"
"1932","WNT7B","FZD10"
"1933","WNT7B","LRP5"
"1934","XCL1","XCR1"
"1935","XCL2","XCR1"
"1936","YARS","CXCR1"
"1937","ZG16B","CXCR4"
"1938","ZG16B","TLR2"
"1939","ZG16B","TLR4"
"1940","ZG16B","TLR5"
"1941","ZG16B","TLR6"
"1942","ZP3","MERTK"
