"","ligand","receptor"
"389","CD14","ITGA4"
"390","CD14","ITGB1"
"391","CD24","SELP"
"392","CD34","SELL"
"393","CD55","CD97"
"394","CD55","CR1"
"395","CD5L","CD5"
"396","CDH1","EGFR"
"397","CDH1","IGF1R"
"398","CDH1","ITGAE"
"399","CDH1","ITGB7"
"400","CDH1","PTPRF"
"401","CDH1","PTPRM"
"402","CEL","CXCR4"
"403","CFH","ITGAM"
"404","CFH","SELL"
"405","CGA","FSHR"
"406","CGA","LHCGR"
"407","CGA","TSHR"
"408","CGB","LHCGR"
"409","CGN","F11R"
"410","CHAD","ITGA2"
"411","CHAD","ITGB1"
"412","CLCF1","CNTFR"
"413","CLCF1","CRLF1"
"414","CLCF1","IL6ST"
"415","CLCF1","LIFR"
"416","CNTF","CNTFR"
"417","CNTF","IL6R"
"418","CNTF","IL6ST"
"419","CNTF","LIFR"
"420","CNTN2","CNTN1"
"421","CNTN2","CNTNAP2"
"422","CNTN2","NRCAM"
"423","CNTN4","PTPRG"
"424","COL11A1","DDR1"
"425","COL14A1","CD44"
"426","COL18A1","GPC1"
"427","COL18A1","GPC4"
"428","COL18A1","ITGA5"
"429","COL18A1","ITGB1"
"430","COL18A1","KDR"
"431","COL1A1","CD36"
"432","COL1A1","CD44"
"433","COL1A1","CD93"
"434","COL1A1","DDR1"
"435","COL1A1","DDR2"
"436","COL1A1","ITGA11"
"437","COL1A1","ITGA2"
"438","COL1A1","ITGA5"
"439","COL1A1","ITGB1"
"440","COL1A1","TMPRSS6"
"441","COL1A2","CD36"
"442","COL1A2","CD44"
"443","COL1A2","CD93"
"444","COL1A2","ITGA2"
"445","COL1A2","ITGA2B"
"446","COL1A2","ITGB3"
"447","COL2A1","DDR1"
"448","COL2A1","ITGA10"
"449","COL2A1","ITGA2"
"450","COL2A1","ITGA2B"
"451","COL2A1","ITGB1"
"452","COL2A1","MAG"
"453","COL2A1","TNFRSF10A"
"454","COL3A1","DDR1"
"455","COL3A1","DDR2"
"456","COL3A1","MAG"
"457","COL4A1","CD93"
"458","COL4A1","ITGA1"
"459","COL4A1","ITGAV"
"460","COL4A1","ITGB1"
"461","COL4A1","ITGB8"
"462","COL4A2","CD93"
"463","COL4A3","CD47"
"464","COL4A3","CD93"
"465","COL4A3","ITGAV"
"466","COL4A4","CD93"
"467","COL4A5","CD93"
"468","COL4A6","CD93"
"469","COL5A1","SDC3"
"470","COL5A2","DDR1"
"471","COL5A3","SDC3"
"472","COL8A1","ITGA1"
"473","COL8A1","ITGA2"
"474","COL9A1","MAG"
"475","COL9A2","MAG"
"476","COL9A3","MAG"
"477","COLQ","MUSK"
"478","CORT","GHSR"
"479","CORT","MRGPRX2"
"480","CORT","SSTR1"
"481","CORT","SSTR2"
"482","CORT","SSTR3"
"483","CORT","SSTR4"
"484","CORT","SSTR5"
"485","CPAMD8","SCTR"
"486","CP","SLC40A1"
"487","CRH","CRHR1"
"488","CRH","CRHR2"
"489","CRH","MC2R"
"490","CRP","OLR1"
"491","CSF1","CSF1R"
"492","CSF2","CSF1R"
"493","CSF2","CSF2RA"
"494","CSF2","CSF2RB"
"495","CSF2","CSF3R"
"496","CSF2","IL3RA"
"497","CSF2","SDC2"
"498","CSF3","CSF1R"
"499","CSF3","CSF3R"
"500","CSH1","PRLR"
"501","CSH2","PRLR"
"502","CSHL1","PRLR"
"503","CTF1","IL6ST"
"504","CTF1","LIFR"
"505","CTGF","ERBB4"
"506","CTGF","ITGA5"
"507","CTGF","ITGAM"
"508","CTGF","ITGB2"
"509","CTGF","LRP1"
"510","CTGF","LRP6"
"511","CTGF","NTRK1"
"512","CTHRC1","FZD3"
"513","CTHRC1","FZD5"
"514","CTHRC1","FZD6"
"515","CUBN","LRP2"
"516","CX3CL1","CX3CR1"
"517","CXCL10","CCR3"
"518","CXCL10","CXCR3"
"519","CXCL10","SDC4"
"520","CXCL11","ACKR3"
"521","CXCL11","CCR3"
"522","CXCL11","CXCR3"
"523","CXCL12","ACKR3"
"524","CXCL12","CD4"
"525","CXCL12","CXCR3"
"526","CXCL12","CXCR4"
"527","CXCL12","ITGB1"
"528","CXCL13","ACKR4"
"529","CXCL13","CCR10"
"530","CXCL13","CXCR3"
"531","CXCL13","CXCR5"
"532","CXCL16","CXCR6"
"533","CXCL1","CXCR1"
"534","CXCL1","CXCR2"
"535","CXCL1","DARC"
"536","CXCL2","CXCR1"
"537","CXCL2","CXCR2"
"538","CXCL2","XCR1"
"539","CXCL3","CXCR1"
"540","CXCL3","CXCR2"
"541","CXCL5","CXCR1"
"542","CXCL5","CXCR2"
"543","CXCL5","DARC"
"544","CXCL6","CXCR1"
"545","CXCL6","CXCR2"
"546","CXCL9","CCR3"
"547","CXCL9","CXCR3"
"548","CYR61","ITGA5"
"549","CYR61","ITGAM"
"550","CYR61","ITGAV"
"551","CYR61","ITGB2"
"552","CYR61","ITGB3"
"553","CYR61","ITGB5"
"554","DCN","EGFR"
"555","DCN","ERBB4"
"556","DCN","MET"
"557","DEFB103A","CCR6"
"558","DEFB103B","CCR2"
"559","DEFB103B","CCR6"
"560","DEFB1","CCR6"
"561","DEFB4A","CCR6"
"562","DEFB4A","TLR4"
"563","DEFB4B","CCR6"
"564","DHH","BOC"
"565","DHH","CDON"
"566","DHH","HHIP"
"567","DHH","PTCH1"
"568","DHH","PTCH2"
"569","DKK1","KREMEN1"
"570","DKK1","KREMEN2"
"571","DKK1","LRP5"
"572","DKK1","LRP6"
"573","DKK2","KREMEN2"
"574","DKK2","LRP6"
"575","DLK1","NOTCH1"
"576","DLK2","NOTCH1"
"577","DLL1","NOTCH1"
"578","DLL1","NOTCH2"
"579","DLL1","NOTCH3"
"580","DLL4","NOTCH1"
"581","DLL4","NOTCH2"
"582","DLL4","NOTCH3"
"583","DLL4","NOTCH4"
"584","EBI3","IL27RA"
"585","EDA","EDA2R"
"586","EDA","EDAR"
"587","EDIL3","ITGAV"
"588","EDN1","EDNRA"
"589","EDN1","EDNRB"
"590","EDN1","KEL"
"591","EDN2","EDNRA"
"592","EDN2","EDNRB"
"593","EDN2","KEL"
"594","EDN3","EDNRA"
"595","EDN3","EDNRB"
"596","EDN3","KEL"
"597","EFEMP1","EGFR"
"598","EFEMP2","AQP1"
"599","EFEMP2","CATSPER1"
"600","EFEMP2","LINGO1"
"601","EFEMP2","PLSCR4"
"602","EFNA1","EPHA1"
"603","EFNA1","EPHA2"
"604","EFNA1","EPHA3"
"605","EFNA1","EPHA4"
"606","EFNA1","EPHA5"
"607","EFNA1","EPHA6"
"608","EFNA1","EPHA7"
"609","EFNA1","EPHA8"
"610","EFNA1","EPHB1"
"611","EFNA2","EPHA2"
"612","EFNA2","EPHA3"
"613","EFNA2","EPHA4"
"614","EFNA2","EPHA5"
"615","EFNA2","EPHA6"
"616","EFNA2","EPHA7"
"617","EFNA2","EPHA8"
"618","EFNA3","EPHA1"
"619","EFNA3","EPHA2"
"620","EFNA3","EPHA3"
"621","EFNA3","EPHA4"
"622","EFNA3","EPHA5"
"623","EFNA3","EPHA6"
"624","EFNA3","EPHA7"
"625","EFNA3","EPHA8"
"626","EFNA3","EPHB1"
"627","EFNA4","EPHA2"
"628","EFNA4","EPHA3"
"629","EFNA4","EPHA4"
"630","EFNA4","EPHA5"
"631","EFNA4","EPHA6"
"632","EFNA4","EPHA7"
"633","EFNA4","EPHA8"
"634","EFNA5","EPHA2"
"635","EFNA5","EPHA3"
"636","EFNA5","EPHA4"
"637","EFNA5","EPHA5"
"638","EFNA5","EPHA6"
"639","EFNA5","EPHA7"
"640","EFNA5","EPHA8"
"641","EFNA5","EPHB1"
"642","EFNA5","EPHB2"
"643","EFNA5","EPHB6"
"644","EFNB1","EPHB1"
"645","EFNB1","EPHB2"
"646","EFNB1","EPHB3"
"647","EFNB1","EPHB4"
"648","EFNB1","EPHB6"
"649","EFNB1","ERBB2"
"650","EFNB2","EPHA3"
"651","EFNB2","EPHA4"
"652","EFNB2","EPHA6"
"653","EFNB2","EPHB1"
"654","EFNB2","EPHB2"
"655","EFNB2","EPHB3"
"656","EFNB2","EPHB4"
"657","EFNB2","EPHB6"
"658","EFNB2","GRM1"
"659","EFNB2","GRM5"
"660","EFNB2","PECAM1"
"661","EFNB2","RHBDL2"
"662","EFNB3","EPHA4"
"663","EFNB3","EPHB2"
"664","EFNB3","EPHB3"
"665","EFNB3","EPHB4"
"666","EFNB3","RHBDL2"
"667","EGF","EGFR"
"668","EGF","ERBB2"
"669","EGF","ERBB3"
"670","EGF","ERBB4"
"671","EPGN","EGFR"
"672","EPO","EPOR"
"673","EREG","EGFR"
"674","EREG","ERBB4"
"675","F10","F3"
"676","F11","GP1BA"
"677","F12","CD93"
"678","F12","GP1BA"
"679","F13A1","ITGA4"
"680","F13A1","ITGA9"
"681","F13A1","ITGB1"
"682","F2","F2R"
"683","F2","F2RL1"
"684","F2","F2RL2"
"685","F2","F2RL3"
"686","F2","GP1BA"
"687","F2","GP9"
"688","F2","ITGA2B"
"689","F2","THBD"
"690","F7","F3"
"691","F8","ASGR2"
"692","F8","LDLR"
"693","F8","LRP1"
"694","F9","LRP1"
"695","FASLG","TNFRSF6B"
"696","FAT4","DCHS1"
"697","FBLN1","ITGB1"
"698","FBLN2","ITGB3"
"699","FBN1","ITGA5"
"700","FBN1","ITGAV"
"701","FBN1","ITGB1"
"702","FBN1","ITGB3"
"703","FCN2","LRP1"
"704","FGA","CDH5"
"705","FGA","ITGA2B"
