"","ligand","receptor"
"241","Ccl26","Ccr3"
"242","Ccl27a","Ackr2"
"243","Ccl27a","Ccr10"
"244","Ccl27b","Ackr2"
"245","Ccl27b","Ccr10"
"246","Ccl28","Ackr2"
"247","Ccl28","Ccr10"
"248","Ccl28","Ccr3"
"249","Ccl3","Ackr2"
"250","Ccl3","Ccr1"
"251","Ccl3","Ccr3"
"252","Ccl3","Ccr4"
"253","Ccl3","Ccr5"
"254","Ccl4","Ackr2"
"255","Ccl4","Ccr1"
"256","Ccl4","Ccr3"
"257","Ccl4","Ccr5"
"258","Ccl4","Ccr8"
"259","Ccl5","Ackr2"
"260","Ccl5","Ackr4"
"261","Ccl5","Ccr1"
"262","Ccl5","Ccr3"
"263","Ccl5","Ccr4"
"264","Ccl5","Ccr5"
"265","Ccl5","Cxcr3"
"266","Ccl5","Gpr75"
"267","Ccl5","Sdc1"
"268","Ccl5","Sdc4"
"269","Ccl7","Ackr2"
"270","Ccl7","Ackr4"
"271","Ccl7","Ccr1"
"272","Ccl7","Ccr10"
"273","Ccl7","Ccr2"
"274","Ccl7","Ccr3"
"275","Ccl7","Ccr5"
"276","Ccl7","Cxcr3"
"277","Cd14","Itga4"
"278","Cd14","Itgb1"
"279","Cd24a","Selp"
"280","Cd274","Cd80"
"281","Cd274","Pdcd1"
"282","Cd34","Sell"
"283","Cd40lg","Cd40"
"284","Cd48","Cd2"
"285","Cd48","Cd244a"
"286","Cd5l","Cd5"
"287","Cd70","Cd27"
"288","Cd80","Cd28"
"289","Cd80","Ctla4"
"290","Cd84","Cd84"
"291","Cd86","Cd28"
"292","Cd86","Ctla4"
"293","Cdh1","Egfr"
"294","Cdh1","Igf1r"
"295","Cdh1","Itgae"
"296","Cdh1","Itgb7"
"297","Cdh1","Ptprf"
"298","Cdh1","Ptprm"
"299","Ceacam1","Havcr2"
"300","Ceacam2","Havcr2"
"301","Cel","Cxcr4"
"302","Cfh","Itgam"
"303","Cfh","Sell"
"304","Cga","Fshr"
"305","Cga","Lhcgr"
"306","Cga","Tshr"
"307","Cgn","F11r"
"308","Chad","Itga2"
"309","Chad","Itgb1"
"310","Clcf1","Cntfr"
"311","Clcf1","Crlf1"
"312","Clcf1","Il6st"
"313","Clcf1","Lifr"
"314","Clec4g","Lag3"
"315","Cntf","Cntfr"
"316","Cntf","Il6ra"
"317","Cntf","Il6st"
"318","Cntf","Lifr"
"319","Cntn2","Cntn1"
"320","Cntn2","Cntnap2"
"321","Cntn2","Nrcam"
"322","Cntn4","Ptprg"
"323","Col11a1","Ddr1"
"324","Col14a1","Cd44"
"325","Col18a1","Gpc1"
"326","Col18a1","Gpc4"
"327","Col18a1","Itga5"
"328","Col18a1","Itgb1"
"329","Col18a1","Kdr"
"330","Col1a1","Cd36"
"331","Col1a1","Cd44"
"332","Col1a1","Cd93"
"333","Col1a1","Ddr1"
"334","Col1a1","Ddr2"
"335","Col1a1","Itga11"
"336","Col1a1","Itga2"
"337","Col1a1","Itga5"
"338","Col1a1","Itgb1"
"339","Col1a1","Tmprss6"
"340","Col1a2","Cd36"
"341","Col1a2","Cd44"
"342","Col1a2","Cd93"
"343","Col1a2","Itga2"
"344","Col1a2","Itga2b"
"345","Col1a2","Itgb3"
"346","Col2a1","Ddr1"
"347","Col2a1","Itga10"
"348","Col2a1","Itga2"
"349","Col2a1","Itga2b"
"350","Col2a1","Itgb1"
"351","Col2a1","Mag"
"352","Col2a1","Tnfrsf10b"
"353","Col3a1","Ddr1"
"354","Col3a1","Ddr2"
"355","Col3a1","Mag"
"356","Col4a1","Cd93"
"357","Col4a1","Itga1"
"358","Col4a1","Itgav"
"359","Col4a1","Itgb1"
"360","Col4a1","Itgb8"
"361","Col4a2","Cd93"
"362","Col4a3","Cd47"
"363","Col4a3","Cd93"
"364","Col4a3","Itgav"
"365","Col4a4","Cd93"
"366","Col4a5","Cd93"
"367","Col4a6","Cd93"
"368","Col5a1","Sdc3"
"369","Col5a2","Ddr1"
"370","Col5a3","Sdc3"
"371","Col8a1","Itga1"
"372","Col8a1","Itga2"
"373","Col9a1","Mag"
"374","Col9a2","Mag"
"375","Col9a3","Mag"
"376","Colq","Musk"
"377","Cort","Ghsr"
"378","Cort","Mrgprb1"
"379","Cort","Mrgprx2"
"380","Cort","Sstr1"
"381","Cort","Sstr2"
"382","Cort","Sstr3"
"383","Cort","Sstr4"
"384","Cort","Sstr5"
"385","Cp","Slc40a1"
"386","Crh","Crhr1"
"387","Crh","Crhr2"
"388","Crh","Mc2r"
"389","Crp","Olr1"
"390","Csf1","Csf1r"
"391","Csf2","Csf1r"
"392","Csf2","Csf2ra"
"393","Csf2","Csf2rb"
"394","Csf2","Csf2rb2"
