"","ligand","receptor"
"906","Hras","Grin2d"
"907","Hras","Insr"
"908","Hras","Tlr2"
"909","Hras","Tlr9"
"910","Hrg","Fcgr1"
"911","Hsp90aa1","Cftr"
"912","Hsp90aa1","Egfr"
"913","Hsp90aa1","Fgfr3"
"914","Hspg2","Col13a1"
"915","Hspg2","Itga2"
"916","Hspg2","Itgb1"
"917","Hspg2","Ptprs"
"918","Iapp","Calcr"
"919","Iapp","Ramp1"
"920","Iapp","Ramp2"
"921","Icam1","Egfr"
"922","Icam1","Il2ra"
"923","Icam1","Il2rg"
"924","Icam1","Itgal"
"925","Icam1","Itgam"
"926","Icam1","Itgax"
"927","Icam1","Itgb2"
"928","Icam2","Itgal"
"929","Icam2","Itgam"
"930","Icam2","Itgb2"
"931","Icam4","Itga2b"
"932","Icam4","Itga4"
"933","Icam4","Itgal"
"934","Icam4","Itgam"
"935","Icam4","Itgav"
"936","Icam4","Itgb1"
"937","Icam4","Itgb2"
"938","Icam4","Itgb3"
"939","Icam4","Rhag"
"940","Icam5","Itgal"
"941","Icam5","Itgb2"
"942","Icosl","Cd28"
"943","Icosl","Ctla4"
"944","Icosl","Icos"
"945","Ifna1","Ifnar1"
"946","Ifna1","Ifnar2"
"947","Ifna11","Ifnar1"
"948","Ifna11","Ifnar2"
"949","Ifna12","Ifnar1"
"950","Ifna12","Ifnar2"
"951","Ifna13","Ifnar1"
"952","Ifna13","Ifnar2"
"953","Ifna14","Ifnar1"
"954","Ifna14","Ifnar2"
"955","Ifna15","Ifnar1"
"956","Ifna15","Ifnar2"
"957","Ifna16","Ifnar1"
"958","Ifna16","Ifnar2"
"959","Ifna2","Ifnar1"
"960","Ifna2","Ifnar2"
"961","Ifna5","Ifnar1"
"962","Ifna5","Ifnar2"
"963","Ifna6","Ifnar1"
"964","Ifna6","Ifnar2"
"965","Ifna7","Ifnar1"
"966","Ifna7","Ifnar2"
"967","Ifna9","Ifnar1"
"968","Ifna9","Ifnar2"
"969","Ifnab","Ifnar1"
"970","Ifnab","Ifnar2"
"971","Ifnb1","Ifnar1"
"972","Ifnb1","Ifnar2"
"973","Ifng","Ifngr1"
"974","Ifng","Ifngr2"
"975","Ifnl2","Ifnlr1"
"976","Ifnl2","Il10rb"
"977","Ifnl3","Ifnlr1"
"978","Ifnl3","Il10rb"
"979","Igf1","Igf1r"
"980","Igf2","Igf1r"
"981","Igf2","Igf2r"
"982","Igf2","Insr"
"983","Igfbp4","Fzd8"
"984","Igfbp4","Lrp6"
"985","Igfl3","Igflr1"
"986","Ihh","Boc"
"987","Ihh","Cdon"
"988","Ihh","Hhip"
"989","Ihh","Ptch1"
"990","Ihh","Ptch2"
"991","Il10","Il10ra"
"992","Il10","Il10rb"
"993","Il11","Gm13305"
"994","Il11","Il11ra1"
"995","Il11","Il11ra2"
"996","Il11","Il6st"
"997","Il12a","Cd28"
"998","Il12a","Il12rb1"
"999","Il12a","Il12rb2"
"1000","Il12b","Il12rb1"
"1001","Il12b","Il12rb2"
"1002","Il12b","Il23r"
"1003","Il13","Il13ra1"
"1004","Il13","Il13ra2"
"1005","Il13","Il2rg"
"1006","Il13","Il4ra"
"1007","Il15","Il15ra"
"1008","Il15","Il2ra"
"1009","Il15","Il2rb"
"1010","Il15","Il2rg"
"1011","Il16","Cd4"
"1012","Il16","Grin2c"
"1013","Il16","Grin2d"
"1014","Il16","Kcna3"
"1015","Il16","Kcnd1"
"1016","Il16","Kcnd2"
"1017","Il16","Kcnj10"
"1018","Il16","Kcnj15"
"1019","Il16","Kcnj4"
"1020","Il17a","Il17ra"
"1021","Il17a","Il17rc"
"1022","Il17b","Il17rb"
"1023","Il17f","Il17ra"
"1024","Il18","Il18r1"
"1025","Il18","Il18rap"
"1026","Il18","Il1rapl1"
"1027","Il18","Il1rl2"
"1028","Il19","Il20ra"
"1029","Il19","Il20rb"
"1030","Il1a","Il1r1"
"1031","Il1a","Il1r2"
"1032","Il1a","Il1rap"
"1033","Il1b","Adrb2"
"1034","Il1b","Il1r1"
"1035","Il1b","Il1r2"
"1036","Il1b","Il1rap"
"1037","Il1f10","Il1r1"
"1038","Il1rn","Il1r1"
"1039","Il1rn","Il1r2"
"1040","Il2","Cd53"
"1041","Il2","Il2ra"
"1042","Il2","Il2rb"
"1043","Il2","Il2rg"
"1044","Il2","Ngfr"
"1045","Il20","Il20ra"
"1046","Il20","Il20rb"
"1047","Il20","Il22ra1"
"1048","Il21","Il21r"
"1049","Il21","Il2rg"
"1050","Il22","Il10ra"
"1051","Il22","Il10rb"
"1052","Il22","Il22ra1"
"1053","Il22","Il22ra2"
"1054","Il23a","Il12rb1"
"1055","Il23a","Il23r"
"1056","Il24","Il20ra"
"1057","Il24","Il20rb"
"1058","Il24","Il22ra1"
"1059","Il25","Il17rb"
"1060","Il27","Il27ra"
"1061","Il3","Csf2rb"
"1062","Il3","Csf2rb2"
"1063","Il3","Il3ra"
"1064","Il31","Il31ra"
"1065","Il31","Osmr"
"1066","Il33","Il1rl1"
"1067","Il34","Csf1r"
"1068","Il4","Cd53"
"1069","Il4","Il13ra1"
"1070","Il4","Il13ra2"
"1071","Il4","Il2rg"
"1072","Il4","Il4ra"
"1073","Il5","Csf2rb"
"1074","Il5","Csf2rb2"
"1075","Il5","Il5ra"
"1076","Il6","Il6ra"
"1077","Il6","Il6st"
"1078","Il7","Il2rg"
"1079","Il7","Il7r"
"1080","Il9","Il2rg"
"1081","Il9","Il9r"
"1082","Iltifb","Il10ra"
"1083","Iltifb","Il10rb"
"1084","Iltifb","Il22ra1"
"1085","Iltifb","Il22ra2"
"1086","Inha","Acvr2a"
"1087","Inha","Tgfbr3"
"1088","Inhba","Acvr1"
"1089","Inhba","Acvr1b"
"1090","Inhba","Acvr2a"
"1091","Inhba","Acvr2b"
"1092","Inhba","Bambi"
"1093","Inhba","Eng"
"1094","Inhba","Tgfbr3"
"1095","Inhbb","Acvr1"
"1096","Inhbb","Acvr1b"
"1097","Inhbb","Acvr1c"
"1098","Inhbb","Acvr2a"
"1099","Inhbb","Acvr2b"
"1100","Inhbc","Acvr1"
"1101","Inhbc","Acvr1b"
"1102","Inhbc","Acvr2a"
"1103","Inhbc","Acvr2b"
"1104","Ins2","Igf1r"
"1105","Ins2","Insr"
"1106","Ins2","Lrp2"
"1107","Insl3","Rxfp2"
"1108","Insl5","Rxfp3"
"1109","Insl5","Rxfp4"
"1110","Itgb3bp","Itgb3"
"1111","Itgb3bp","Itgb5"
"1112","Itih2","Fcer1a"
"1113","Jag1","Notch1"
"1114","Jag1","Notch2"
"1115","Jag1","Notch3"
"1116","Jag1","Notch4"
"1117","Jag2","Notch1"
"1118","Jag2","Notch2"
"1119","Jag2","Notch3"
"1120","Kiss1","Kiss1r"
"1121","Kiss1","Mmp24"
"1122","Kitl","Epor"
"1123","Kitl","Kit"
"1124","Kng1","Bdkrb1"
"1125","Kng1","Bdkrb2"
"1126","Kng1","Cd93"
"1127","Kng1","Gp1ba"
"1128","Kng1","Gpr135"
"1129","Kng1","Itgb2"
"1130","Kng1","Plaur"
"1131","Kng1","Rxfp4"
"1132","Kng2","Bdkrb1"
"1133","Kng2","Bdkrb2"
"1134","Kng2","Cd93"
"1135","Kng2","Gp1ba"
"1136","Kng2","Gpr135"
"1137","Kng2","Itgb2"
"1138","Kng2","Plaur"
"1139","Kng2","Rxfp4"
"1140","L1cam","Cntn1"
"1141","L1cam","Egfr"
"1142","L1cam","Erbb2"
"1143","L1cam","Erbb3"
"1144","L1cam","Itga5"
"1145","L1cam","Itgav"
"1146","Lama1","Itga1"
"1147","Lama1","Itga2"
"1148","Lama1","Itga7"
"1149","Lama1","Itgb1"
"1150","Lama1","Itgb8"
"1151","Lama1","Nt5e"
"1152","Lama1","Rpsa"
"1153","Lama1","Tmprss6"
"1154","Lama2","Itga7"
"1155","Lama2","Itgb1"
"1156","Lama2","Rpsa"
"1157","Lama3","Sdc2"
"1158","Lama5","Bcam"
"1159","Lamb1","Itga6"
"1160","Lamb1","Itgb1"
"1161","Lamb2","Rpsa"
"1162","Lamc2","Itga3"
"1163","Lamc2","Itga6"
"1164","Lamc2","Itgb1"
"1165","Lamc2","Itgb4"
"1166","Lcn2","Lrp2"
"1167","Lefty2","Acvr2b"
"1168","Lep","Lepr"
"1169","Lgals3bp","Itgb1"
"1170","Lgals9","Havcr2"
"1171","Lhb","Lhcgr"
"1172","Lif","Il6st"
"1173","Lif","Lifr"
"1174","Lin7c","Abca1"
"1175","Lin7c","Htr2c"
"1176","Lipc","Lrp1"
"1177","Liph","Lpar1"
"1178","Liph","Lpar2"
"1179","Liph","Lpar4"
"1180","Lpl","Gpihbp1"
"1181","Lpl","Lrp1"
"1182","Lpl","Lrp2"
"1183","Lpl","Sdc1"
"1184","Lpl","Vldlr"
"1185","Lrp1b","Plaur"
"1186","Lrpap1","Ldlr"
"1187","Lrpap1","Lrp1"
"1188","Lrpap1","Lrp2"
"1189","Lrpap1","Lrp8"
"1190","Lrpap1","Sorl1"
"1191","Lrpap1","Sort1"
"1192","Lrpap1","Vldlr"
"1193","Lta","Ltbr"
"1194","Lta","Tnfrsf14"
"1195","Lta","Tnfrsf1a"
"1196","Lta","Tnfrsf1b"
"1197","Ltb","Cd40"
"1198","Ltb","Ltbr"
"1199","Ltb","Tnfrsf1a"
"1200","Ltbp1","Itgb5"
"1201","Ltbp3","Itgb5"
"1202","Ltf","Lrp1"
"1203","Ltf","Lrp11"
"1204","Ly86","Cd180"
"1205","Ly9","Ly9"
"1206","Madcam1","Cd44"
"1207","Madcam1","Itga4"
"1208","Madcam1","Itgb7"
"1209","Matn1","Itga1"
"1210","Matn1","Itgb1"
"1211","Mbl2","Calcr"
"1212","Mbl2","Cd93"
"1213","Mdk","Alk"
"1214","Mdk","Lrp1"
"1215","Mdk","Lrp2"
"1216","Mdk","Ptprz1"
"1217","Mdk","Sdc1"
"1218","Mdk","Sdc3"
"1219","Mdk","Sdc4"
"1220","Mdk","Tspan1"
"1221","Mepe","Phex"
"1222","Mfap2","Notch1"
"1223","Mfap5","Notch1"
"1224","Mfge8","Itgav"
"1225","Mfge8","Itgb3"
"1226","Mfge8","Pdgfrb"
"1227","Mfng","Notch1"
"1228","Mfng","Notch2"
"1229","Mia","Cdh7"
"1230","Mmp12","Plaur"
"1231","Mmp13","Lrp1"
"1232","Mmp1a","Cd44"
"1233","Mmp1a","Itga2"
"1234","Mmp1b","Cd44"
"1235","Mmp1b","Itga2"
"1236","Mmp2","Sdc2"
"1237","Mmp7","Cd151"
"1238","Mmp7","Cd44"
"1239","Mmp7","Erbb4"
"1240","Mmp9","Cd44"
"1241","Mmp9","Ephb2"
"1242","Mmp9","Lrp1"
"1243","Mst1","Mst1r"
"1244","Mstn","Acvr2b"
"1245","Muc2","Agr2"
"1246","Myoc","Fzd1"
"1247","Myoc","Fzd10"
"1248","Myoc","Fzd3"
"1249","Myoc","Fzd4"
"1250","Myoc","Fzd7"
"1251","Nampt","Insr"
"1252","Ncam1","Fgfr1"
"1253","Ncam1","Gfra1"
"1254","Ncam1","Robo1"
"1255","Ncam1","Robo3"
"1256","Ndp","Fzd4"
"1257","Ndp","Lgr4"
"1258","Nectin1","Cd96"
"1259","Nectin2","Cd226"
"1260","Nectin2","Tigit"
"1261","Nectin3","Tigit"
"1262","Ngf","Ngfr"
"1263","Ngf","Ntrk1"
"1264","Ngf","Sorcs3"
"1265","Ngf","Sort1"
"1266","Nid1","Col13a1"
"1267","Nid1","Itgav"
"1268","Nid1","Itgb3"
"1269","Nid1","Ptprf"
"1270","Nid2","Col13a1"
"1271","Nlgn1","Nrxn1"
"1272","Nlgn1","Nrxn2"
"1273","Nlgn1","Nrxn3"
"1274","Nlgn2","Nrxn1"
"1275","Nlgn2","Nrxn2"
"1276","Nlgn2","Nrxn3"
"1277","Nlgn3","Nrxn1"
"1278","Nlgn3","Nrxn2"
"1279","Nlgn3","Nrxn3"
"1280","Nmb","Brs3"
"1281","Nmb","Grpr"
"1282","Nmb","Nmbr"
"1283","Nms","Nmur1"
"1284","Nms","Nmur2"
"1285","Nmu","Nmur1"
"1286","Nmu","Nmur2"
"1287","Nodal","Acvr1b"
"1288","Nodal","Acvr1c"
"1289","Nodal","Acvr2a"
"1290","Nodal","Acvr2b"
"1291","Npb","Npbwr1"
"1292","Npff","Npffr1"
"1293","Npff","Npffr2"
"1294","Npnt","Itga8"
"1295","Npnt","Itgb1"
"1296","Nppa","Npr1"
"1297","Nppa","Npr3"
"1298","Nppb","Npr1"
"1299","Nppb","Npr2"
"1300","Nppb","Npr3"
"1301","Nppc","Npr2"
"1302","Nppc","Npr3"
"1303","Nps","Npsr1"
"1304","Npvf","Npffr1"
"1305","Npvf","Npffr2"
"1306","Npw","Npbwr1"
"1307","Npy","Fap"
"1308","Npy","Mc4r"
"1309","Npy","Npffr2"
"1310","Npy","Npy1r"
"1311","Npy","Npy2r"
"1312","Npy","Npy4r"
"1313","Npy","Npy5r"
"1314","Npy","Prlhr"
"1315","Nrg1","Erbb2"
"1316","Nrg1","Erbb3"
"1317","Nrg1","Erbb4"
"1318","Nrg2","Erbb3"
"1319","Nrg2","Erbb4"
"1320","Nrg3","Erbb4"
"1321","Nrg4","Erbb4"
"1322","Nrtn","Gfra1"
"1323","Nrtn","Gfra2"
"1324","Nrtn","Ret"
"1325","Ntf3","Ngfr"
"1326","Ntf3","Ntrk1"
"1327","Ntf3","Ntrk2"
"1328","Ntf3","Ntrk3"
"1329","Ntf5","Ngfr"
"1330","Ntf5","Ntrk1"
"1331","Ntf5","Ntrk2"
"1332","Ntn1","Adora2b"
"1333","Ntn1","Dcc"
"1334","Ntn1","Neo1"
"1335","Ntn1","Unc5a"
"1336","Ntn1","Unc5b"
"1337","Ntn1","Unc5c"
"1338","Ntn1","Unc5d"
"1339","Ntn3","Cdon"
"1340","Ntn3","Neo1"
"1341","Ntn4","Dcc"
"1342","Ntn4","Unc5a"
"1343","Ntng1","Lrrc4c"
"1344","Ntng2","Lrrc4"
"1345","Nts","Ntsr1"
"1346","Nts","Ntsr2"
"1347","Nts","Sort1"
"1348","Nxph1","Nrxn1"
"1349","Nxph1","Nrxn2"
"1350","Nxph1","Nrxn3"
"1351","Nxph2","Nrxn1"
"1352","Nxph3","Nrxn1"
"1353","Nxph3","Nrxn2"
"1354","Nxph3","Nrxn3"
"1355","Olfm2","Robo2"
"1356","Omg","Lingo1"
"1357","Omg","Rtn4r"
"1358","Omg","Rtn4rl1"
"1359","Omg","Tnfrsf1b"
"1360","Osm","Il6st"
"1361","Osm","Lifr"
"1362","Osm","Osmr"
"1363","Ostn","Npr3"
"1364","Oxt","Avpr1a"
"1365","Oxt","Avpr1b"
"1366","Oxt","Avpr2"
"1367","Oxt","Oxtr"
"1368","Pcsk9","Vldlr"
"1369","Pdap1","Pdgfrb"
"1370","Pdcd1lg2","Pdcd1"
"1371","Pdcd1lg2","Rgmb"
"1372","Pdgfa","Pdgfra"
"1373","Pdgfb","Art1"
"1374","Pdgfb","Lrp1"
"1375","Pdgfb","Pdgfra"
"1376","Pdgfb","Pdgfrb"
"1377","Pdgfc","Flt4"
"1378","Pdgfc","Kdr"
"1379","Pdgfc","Pdgfra"
"1380","Pdgfd","Pdgfrb"
"1381","Pdyn","Oprd1"
"1382","Pdyn","Oprk1"
"1383","Pdyn","Oprm1"
"1384","Penk","Mrgprb2"
"1385","Penk","Ogfr"
"1386","Penk","Oprd1"
"1387","Penk","Oprm1"
"1388","Pf4","Cxcr3"
"1389","Pf4","Fgfr2"
"1390","Pf4","Ldlr"
"1391","Pf4","Procr"
"1392","Pf4","Sdc2"
"1393","Pf4","Thbd"
"1394","Pgf","Flt1"
"1395","Pgf","Nrp1"
"1396","Pgf","Nrp2"
"1397","Pigf","Flt1"
"1398","Pip","Cd4"
"1399","Pla2g10","Pla2r1"
"1400","Plat","Lrp1"
"1401","Plau","Igf2r"
"1402","Plau","Lrp1"
"1403","Plau","Lrp2"
"1404","Plau","Plaur"
"1405","Plau","St14"
"1406","Plg","F2r"
"1407","Plg","F2rl1"
"1408","Plg","F3"
"1409","Plg","Itga9"
"1410","Plg","Itgb1"
"1411","Plg","Plgrkt"
"1412","Pltp","Abca1"
"1413","Pmch","Mchr1"
"1414","Pnoc","Oprl1"
"1415","Podxl","Sell"
"1416","Podxl2","Sell"
"1417","Pomc","Mc1r"
"1418","Pomc","Mc2r"
"1419","Pomc","Mc3r"
"1420","Pomc","Mc4r"
"1421","Pomc","Mc5r"
"1422","Pomc","Oprd1"
"1423","Pomc","Oprk1"
"1424","Pomc","Oprm1"
"1425","Pon2","Htr2a"
"1426","Ppbp","Cxcr1"
"1427","Ppbp","Cxcr2"
"1428","Ppy","Npy4r"
"1429","Ppy","Npy5r"
"1430","Prl","Prlr"
"1431","Prlh","Prlhr"
"1432","Prnd","Rpsa"
"1433","Proc","Procr"
"1434","Proc","Thbd"
"1435","Prok1","Prokr1"
"1436","Prok1","Prokr2"
"1437","Prok2","Prokr1"
"1438","Prok2","Prokr2"
"1439","Pros1","Axl"
"1440","Pros1","Tyro3"
"1441","Prss23","Tmem222"
"1442","Psap","Celsr1"
"1443","Psap","Gpr37"
"1444","Psap","Gpr37l1"
"1445","Psap","Lrp1"
"1446","Psen1","Ncstn"
"1447","Psen1","Notch1"
"1448","Psen1","Notch2"
"1449","Psen1","Notch3"
"1450","Psen1","Notch4"
"1451","Pspn","Gfra1"
"1452","Pspn","Gfra4"
"1453","Pspn","Ret"
"1454","Ptdss1","Jmjd6"
"1455","Ptdss1","Scarb1"
"1456","Ptgs2","Cav1"
"1457","Ptgs2","Ptgdr2"
"1458","Pth","Pth1r"
"1459","Pth","Pth2r"
"1460","Pth2","Pth1r"
"1461","Pth2","Pth2r"
"1462","Pthlh","Prlhr"
"1463","Pthlh","Pth1r"
"1464","Pthlh","Pth2r"
"1465","Ptma","Vipr1"
"1466","Ptn","Alk"
"1467","Ptn","Cdh10"
"1468","Ptn","Plxnb2"
"1469","Ptn","Ptprb"
"1470","Ptn","Ptprs"
"1471","Ptn","Ptprz1"
"1472","Ptn","Sdc1"
"1473","Ptn","Sdc3"
"1474","Pyy","Fap"
"1475","Pyy","Npy1r"
"1476","Pyy","Npy2r"
"1477","Pyy","Npy4r"
"1478","Pyy","Npy5r"
"1479","Qrfp","P2ry14"
"1480","Qrfp","Qrfpr"
"1481","Rarres2","Ccrl2"
"1482","Rarres2","Cmklr1"
"1483","Rarres2","Gpr1"
"1484","Rbp3","Notch1"
"1485","Rbp4","Stra6"
"1486","Reln","Itga3"
"1487","Reln","Itgb1"
"1488","Reln","Lrp8"
"1489","Reln","Vldlr"
"1490","Ren1","Atp6ap2"
"1491","Rgma","Neo1"
"1492","Rgmb","Neo1"
"1493","Rims1","Cacna1c"
"1494","Rims2","Abca1"
"1495","Rln1","Rxfp1"
"1496","Rln1","Rxfp2"
"1497","Rln3","Rxfp1"
"1498","Rln3","Rxfp2"
"1499","Rln3","Rxfp3"
"1500","Rln3","Rxfp4"
"1501","Rnase2a","Tlr2"
"1502","Rnase2b","Tlr2"
"1503","Rph3a","Nrxn1"
"1504","Rps19","C5ar1"
"1505","Rspo1","Lgr4"
"1506","Rspo1","Lgr5"
"1507","Rspo1","Lgr6"
"1508","Rspo1","Lrp6"
"1509","Rspo1","Znrf3"
"1510","Rspo2","Lgr4"
"1511","Rspo2","Lgr5"
"1512","Rspo2","Lgr6"
"1513","Rspo3","Fzd8"
"1514","Rspo3","Lgr4"
"1515","Rspo3","Lgr5"
"1516","Rspo3","Lgr6"
"1517","Rspo3","Lrp6"
"1518","Rspo3","Sdc4"
"1519","Rspo4","Lgr4"
"1520","Rspo4","Lgr5"
"1521","Rspo4","Lgr6"
"1522","Rtn4","Cntnap1"
"1523","Rtn4","Lingo1"
"1524","Rtn4","Rtn4r"
"1525","Rtn4","Tnfrsf19"
"1526","S100a8","Tlr4"
"1527","S100a9","Tlr4"
"1528","Saa1","Fpr1"
"1529","Saa1","Fpr2"
"1530","Saa2","Fpr1"
"1531","Saa2","Fpr2"
"1532","Scgb1a1","Lmbr1l"
"1533","Scgb1a1","Lrp2"
"1534","Scgb3a1","Marco"
"1535","Scgb3a2","Marco"
"1536","Sct","Sctr"
"1537","Sct","Vipr1"
"1538","Sct","Vipr2"
"1539","Selplg","Sele"
"1540","Selplg","Sell"
"1541","Selplg","Selp"
"1542","Sema3a","Nrp1"
"1543","Sema3a","Nrp2"
"1544","Sema3a","Plxna1"
"1545","Sema3a","Plxna2"
"1546","Sema3a","Plxna4"
"1547","Sema3b","Nrp1"
"1548","Sema3b","Nrp2"
"1549","Sema3c","Nrp1"
"1550","Sema3c","Nrp2"
"1551","Sema3c","Plxnd1"
"1552","Sema3d","Nrp1"
"1553","Sema3e","Plxnd1"
"1554","Sema3f","Nrp1"
"1555","Sema3f","Nrp2"
"1556","Sema3f","Plxna3"
"1557","Sema3g","Nrp2"
"1558","Sema4a","Plxnd1"
"1559","Sema4b","Dcbld2"
"1560","Sema4c","Plxnb2"
"1561","Sema4d","Cd72"
"1562","Sema4d","Erbb2"
"1563","Sema4d","Met"
"1564","Sema4d","Plxnb1"
"1565","Sema4d","Plxnb2"
"1566","Sema4f","Nrp2"
"1567","Sema4g","Plxnb2"
"1568","Sema5a","Met"
"1569","Sema5a","Plxnb3"
"1570","Sema6a","Plxna2"
"1571","Sema6a","Plxna4"
"1572","Sema6d","Kdr"
"1573","Sema6d","Plxna1"
"1574","Sema6d","Trem2"
"1575","Sema6d","Tyrobp"
"1576","Sema7a","Itga1"
"1577","Sema7a","Itgb1"
"1578","Sema7a","Plxnc1"
"1579","Serpina1a","Lrp1"
"1580","Serpina1b","Lrp1"
"1581","Serpina1c","Lrp1"
"1582","Serpina1d","Lrp1"
"1583","Serpina1e","Lrp1"
"1584","Serpina7","Slc16a2"
"1585","Serpinc1","Lrp1"
"1586","Serpinc1","Sdc2"
"1587","Serpine1","Lrp1"
"1588","Serpine1","Lrp2"
"1589","Serpine2","Lrp1"
"1590","Serping1","Lrp1"
"1591","Serping1","Sele"
"1592","Serping1","Selp"
"1593","Sfrp1","Fzd2"
"1594","Sfrp1","Fzd6"
"1595","Sftpa1","Cd93"
"1596","Sftpa1","Tlr2"
"1597","Shank1","Abca1"
"1598","Shank1","Sstr2"
"1599","Shbg","Cd177"
"1600","Shbg","Cldn4"
"1601","Shbg","Slc37a1"
"1602","Shh","Boc"
"1603","Shh","Cdon"
"1604","Shh","Gpc5"
"1605","Shh","Hhip"
"1606","Shh","Lrp2"
"1607","Shh","Ptch1"
"1608","Shh","Ptch2"
"1609","Shh","Smo"
"1610","Slamf1","Slamf1"
"1611","Slamf6","Slamf6"
"1612","Slamf7","Slamf7"
"1613","Slit1","Gpc1"
"1614","Slit1","Robo1"
"1615","Slit1","Sdc1"
"1616","Slit2","Gpc1"
"1617","Slit2","Robo1"
"1618","Slit2","Robo2"
"1619","Slit2","Robo4"
"1620","Slit2","Sdc1"
"1621","Slit3","Robo2"
"1622","Sorbs1","Insr"
"1623","Sost","Lrp5"
"1624","Sost","Lrp6"
"1625","Spink1","Egfr"
"1626","Spink1","Nrsn1"
"1627","Spint1","St14"
"1628","Spp1","Cd44"
"1629","Spp1","Itga4"
"1630","Spp1","Itga5"
"1631","Spp1","Itga9"
"1632","Spp1","Itgav"
"1633","Spp1","Itgb1"
"1634","Spp1","S1pr1"
"1635","Sst","Sstr1"
"1636","Sst","Sstr2"
"1637","Sst","Sstr3"
"1638","Sst","Sstr4"
"1639","Sst","Sstr5"
"1640","Sytl3","Nrxn1"
"1641","Tac1","Tacr1"
"1642","Tac1","Tacr2"
"1643","Tac1","Tacr3"
"1644","Tac2","Tacr1"
"1645","Tac2","Tacr2"
"1646","Tac2","Tacr3"
"1647","Tac4","Tacr1"
"1648","Tac4","Tacr2"
"1649","Tac4","Tacr3"
"1650","Tctn1","Tmem67"
"1651","Tdgf1","Acvr1b"
"1652","Tdgf1","Acvr1c"
"1653","Tdgf1","Acvr2a"
"1654","Tfpi","Lrp1"
"1655","Tfpi","Vldlr"
"1656","Tg","Asgr1"
"1657","Tg","Lrp2"
"1658","Tgfa","Egfr"
"1659","Tgfa","Erbb2"
"1660","Tgfa","Erbb4"
"1661","Tgfb1","Acvrl1"
"1662","Tgfb1","Eng"
"1663","Tgfb1","Itgav"
"1664","Tgfb1","Itgb6"
"1665","Tgfb1","Itgb8"
"1666","Tgfb1","Sdc2"
"1667","Tgfb1","Tgfbr1"
"1668","Tgfb1","Tgfbr2"
"1669","Tgfb1","Tgfbr3"
"1670","Tgfb2","Eng"
"1671","Tgfb2","Tgfbr1"
"1672","Tgfb2","Tgfbr2"
"1673","Tgfb2","Tgfbr3"
"1674","Tgfb3","Acvrl1"
"1675","Tgfb3","Eng"
"1676","Tgfb3","Tgfbr1"
"1677","Tgfb3","Tgfbr2"
"1678","Tgfb3","Tgfbr3"
"1679","Tgm2","Itgb1"
"1680","Tgm2","Itgb3"
"1681","Tgm2","Sdc4"
"1682","Thbs1","Cd36"
"1683","Thbs1","Cd47"
"1684","Thbs1","Itga2b"
"1685","Thbs1","Itga3"
"1686","Thbs1","Itga4"
"1687","Thbs1","Itga6"
"1688","Thbs1","Itgb1"
"1689","Thbs1","Itgb3"
"1690","Thbs1","Lrp1"
"1691","Thbs1","Lrp5"
"1692","Thbs1","Sdc1"
"1693","Thbs1","Tnfrsf11b"
"1694","Thbs2","Cd47"
"1695","Thbs2","Itga4"
"1696","Thbs2","Itga6"
"1697","Thbs2","Itgb1"
"1698","Thbs2","Notch3"
"1699","Thpo","Mpl"
"1700","Timd4","Havcr1"
"1701","Timp1","Cd63"
"1702","Timp2","Itga3"
"1703","Timp2","Itgb1"
"1704","Timp3","Agtr2"
"1705","Timp3","Kdr"
"1706","Tnc","Cntn1"
"1707","Tnc","Egfr"
"1708","Tnc","Itga5"
"1709","Tnc","Itga7"
"1710","Tnc","Itgb1"
"1711","Tnc","Ptprb"
"1712","Tnf","Tnfrsf1a"
"1713","Tnf","Tnfrsf1b"
"1714","Tnf","Tnfrsf21"
"1715","Tnf","Traf2"
"1716","Tnfrsf14","Btla"
"1717","Tnfrsf14","Cd160"
"1718","Tnfsf10","Tnfrsf10b"
"1719","Tnfsf10","Tnfrsf11b"
"1720","Tnfsf11","Tnfrsf11a"
"1721","Tnfsf11","Tnfrsf11b"
"1722","Tnfsf12","Tnfrsf12a"
"1723","Tnfsf12","Tnfrsf25"
"1724","Tnfsf13","Fas"
"1725","Tnfsf13","Sdc2"
"1726","Tnfsf13","Tnfrsf11b"
"1727","Tnfsf13","Tnfrsf13b"
"1728","Tnfsf13","Tnfrsf14"
"1729","Tnfsf13","Tnfrsf17"
"1730","Tnfsf13","Tnfrsf1a"
"1731","Tnfsf13b","Tnfrsf13b"
"1732","Tnfsf13b","Tnfrsf13c"
"1733","Tnfsf13b","Tnfrsf17"
"1734","Tnfsf14","Ltbr"
"1735","Tnfsf14","Tnfrsf14"
"1736","Tnfsf15","Tnfrsf25"
"1737","Tnfsf18","Tnfrsf18"
"1738","Tnfsf4","Tnfrsf4"
"1739","Tnfsf4","Traf2"
"1740","Tnfsf8","Tnfrsf8"
"1741","Tnfsf9","Tnfrsf9"
"1742","Tnfsf9","Traf2"
"1743","Trf","Tfr2"
"1744","Trf","Tfrc"
"1745","Trh","Trhr"
"1746","Tshb","Tshr"
"1747","Tslp","Il7r"
"1748","Ucn","Crhr1"
"1749","Ucn","Crhr2"
"1750","Ucn2","Crhr1"
"1751","Ucn2","Crhr2"
"1752","Ucn2","Il10rb"
"1753","Ucn3","Crhr1"
"1754","Ucn3","Crhr2"
"1755","Ucn3","Il10rb"
"1756","Ulbp1","Klrk1"
"1757","Uts2","Uts2r"
