From	To	
P37231   PPARG	
P37366   CCL1	
P37840   SNCA	
P38570   ITGAE	
P38911   FPR3	
P39900   MMP12	
P39905   GDNF	
P40189   IL6ST	
P40222   TXLNA	
P40933   IL15	
P41143   OPRD1	
P41146   OPRL1	
P41222   PTGDS	
P41597   CCR2	
P42127   ASIP	
P42261   GRIA1	
P42262   GRIA2	
P42701   IL12RB1	
P42702   LIFR	
P43026   GDF5	
P43080   GUCA1A	
P43146   DCC	
P43251   BTD	
P43489   TNFRSF4	
P43629   KIR3DL1	
P43630   KIR3DL2	
P43681   CHRNA4	
P45452   MMP13	
P46092   CCR10	
P46094   XCR1	
P46531   NOTCH1	
P47893   OR3A2	
P47972   NPTX2	
P48023   FASLG	
P48039   MTNR1A	
P48146   NPBWR2	
P48169   GABRA4	
P48304   REG1B	
P48509   CD151	
P48551   IFNAR2	
P48645   NMU	
P48723   HSPA13	
P48740   MASP1	
P48745   CCN3	
P48747   C9	
P48995   TRPC1	
P49190   PTH2R	
P49221   TGM4	
P49682   CXCR3	
P49683   PRLHR	
P49767   VEGFC	
P49913   CAMP	
P50281   MMP14	
P50897   PPT1	
P51460   INSL3	
P51511   MMP15	
P51671   CCL11	
P51677   CCR3	
P51681   CCR5	
P51684   CCR6	
P51693   APLP1	
P51858   HDGF	
P51888   PRELP	
P52272   HNRNPM	
P52797   EFNA3	
P52798   EFNA4	
P52799   EFNB2	
P52803   EFNA5	
P53420   COL4A4	
P54709   ATP1B3	
P54760   EPHB4	
P54762   EPHB1	
P54764   EPHA4	
P54826   GAS1	
P55001   MFAP2	
P55055   NR1H2	
P55072   VCP	
P55081   MFAP1	
P55103   INHBC	
P55268   LAMB2	
P56705   WNT4	
P58166   INHBE	
P59665   DEFA1	
P59665   DEFA1B	
P59666   DEFA3	
P60568   IL2	
P61769   B2M	
P78357   CNTNAP1	
P78508   KCNJ10	
P78539   SRPX	
P80511   S100A12	
P81605   DCD	
P98095   FBLN2	
P98136   C8A	
P98160   HSPG2	
P98164   LRP2	
Q00604   NDP	
Q01196   RUNX1	
Q01638   IL1RL1	
Q01718   MC2R	
Q01955   COL4A3	
Q01974   ROR2	
Q02246   CNTN2	
Q02383   SEMG2	
Q02388   COL7A1	
Q02763   TEK	
Q02817   MUC2	
Q03001   DST	
Q04721   NOTCH2	
Q07011   TNFRSF9	
Q07021   C1QBP	
Q07444   KLRC3	
Q07954   LRP1	
Q08334   IL10RB	
Q08380   LGALS3BP	
Q08431   MFGE8	
Q08722   CD47	
Q12805   EFEMP1	
Q12841   FSTL1	
Q12879   GRIN2A	
Q12884   FAP	
Q12913   PTPRJ	
Q12933   TRAF2	
Q12959   DLG1	
Q13002   GRIK2	
Q13003   GRIK3	
Q13007   IL24	
Q13093   PLA2G7	
Q13162   PRDX4	
Q13214   SEMA3B	
Q13219   PAPPA	
Q13224   GRIN2B	
Q13324   CRHR2	
Q13443   ADAM9	
Q13444   ADAM15	
Q13445   TMED1	
Q13478   IL18R1	
Q13639   HTR4	
Q13705   ACVR2B	
Q13740   ALCAM	
Q13751   LAMB3	
Q13753   LAMC2	
Q13797   ITGA9	
Q14005   IL16	
Q14050   COL9A3	
Q14116   IL18	
Q14213   EBI3	
Q14508   WFDC2	
Q14512   FGFBP1	
Q14563   SEMA3A	
Q14573   ITPR3	
Q14623   IHH	
Q14627   IL13RA2	
Q14773   ICAM4	
Q15165   PON2	
Q15303   ERBB4	
Q15465   SHH	
Q15466   NR0B2	
Q15758   SLC1A5	
Q15768   EFNB3	
Q15782   CHI3L2	
Q16363   LAMA4	
Q16445   GABRA6	
Q16552   IL17A	
Q16671   AMHR2	
Q29980   MICB	
Q29983   MICA	
Q2L6B3   UGRP1	
Q2MKA7   RSPO1	
Q32P28   P3H1	
Q8IZJ0   IFNL2	
Q495A1   TIGIT	
Q4VCS5   AMOT	
Q53GQ0   HSD17B12	
Q53XC6   LGMN	
Q5SQT9   SAR1A	
Q5T2D2   TREML2	
Q5VWK5   IL23R	
Q5ZPR3   CD276	
Q6H3X3   RAET1G	
Q6IBU4   SDF2	
Q6UW01   CBLN3	
Q6UW32   IGFL1	
Q6UWB1   IL27RA	
Q6UWF7   NXPE4	
Q6UWQ7   IGFL2	
Q6UXB1   IGFL3	
Q6UXL0   IL20RB	
Q6UY14   ADAMTSL4	
Q6WN34   CHRDL2	
Q7L0J3   SV2A	
Q7LCB3   NR3A2	
Q7Z5J8   ANKAR	
Q7Z6A9   BTLA	
Q86UN3   RTN4RL2	
Q86VR8   FJX1	
Q86Y38   XYLT1	
Q86YW7   GPHB5	
Q86Z14   KLB	
Q8IU54   IFNL1	
