From	To	
Q13443-2	RAPGEF1
Q13444-10	USP7
P02671-2	FGG
P05067-4	APP
Q05586-2	SMARCA4
O75888-2	USP20
P05112-2	FCGR3A
P48058-2	BCL2L1
O14936-2	ARPC5
P25942-2	ADRB2
P08253-3	ALB
Q01196-3	SMARCC1
O14788-2	MAP4K3
O43557-2	KIF5C
P10586-2	VIM
P41597-2	TACR1
P20701-3	ITGA5
P08514-2	PON1
P16070-19	F5
P19320-2	HSPA4
P14210-6	COL1A1
O60706-2	CDK6
P30511-2	HLA-DQA1
P05019-3	EGFR
P05019-2	EGFR
P78509-2	SLC9A1
P21583-2	GSR
P13497-3	B2M
P25445-2	HLA-DRB1
P10646-2	KRT18
P22455-2	ITGB1
P29323-2	HLA-DQB1
O75469-4	KMT2D
O43914-2	COL4A1
Q12933-2	BCL2
P04626-3	MYC
Q9NS61-2	TGS1
P08887-2	HLA-DPA1
Q12879-2	MDM2
P17813-2	HLA-DRB5
P12111-3	CYP2E1
P02708-2	LCN2
O95185-2	KCNE1
P20849-2	VHL
Q14031-2	FOSL1
Q9BWS9-3	NCF1
Q969J5-2	C2CD2
P10827-2	HBB
P47870-1	HLA-DRA
P09919-3	ITGAX
P02458-1	HBA1
P28472-2	HLA-DQB2
P15502-7	ANXA5
P18510-4	HLA-DPA1
O75636-2	MYO1C
P15692-2	CDKN1A
P04629-3	TP53
P04233-3	HLA-A
P02808-2	HBA2
P21802-14	PRKCB
P17342-2	ITGAL
Q9H293-2	TCEB1
P04279-2	HLA-B
